GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,TL_GEO_ID,NAME_E,AS3FE001,AS3FE002,AS3FE003,AS3FE004,AS3FE005,AS3FE006,AS3FE007,AS3FE008,AS3FE009,AS3FE010,AS3FE011,AS3FE012,AS3FE013,AS3FE014,AS3FE015,AS3FE016,AS3FE017,AS3FE018,AS3FE019,AS3FE020,AS3FE021,AS3FE022,AS3FE023,AS3FE024,AS3FE025,AS3FE026,AS3FE027,AS3FE028,ATBVE001,ATBVE002,ATBVE003,ATBVE004,ATBVE005,ATBVE006,ATBVE007,NAME_M,AS3FM001,AS3FM002,AS3FM003,AS3FM004,AS3FM005,AS3FM006,AS3FM007,AS3FM008,AS3FM009,AS3FM010,AS3FM011,AS3FM012,AS3FM013,AS3FM014,AS3FM015,AS3FM016,AS3FM017,AS3FM018,AS3FM019,AS3FM020,AS3FM021,AS3FM022,AS3FM023,AS3FM024,AS3FM025,AS3FM026,AS3FM027,AS3FM028,ATBVM001,ATBVM002,ATBVM003,ATBVM004,ATBVM005,ATBVM006,ATBVM007
"G010","2019-2023","AL",,,"Alabama","01",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0400000US01",,"01","Alabama",2186028,145936,144796,1895296,1786279,111984,114318,1559977,180796,17709,17721,145366,7014,1731,709,4574,20016,3783,2150,14083,23433,2711,1822,18900,168490,8018,8076,152396,1969105,267155,136659,130496,1701950,176759,1525191,"Alabama",9255,3414,3496,9286,9721,2574,3197,9268,4754,1278,1489,4429,977,406,243,782,1374,582,374,1303,1546,465,415,1439,3976,790,802,3777,6574,4097,2835,3348,7720,3243,7804
"G020","2019-2023","AK",,,"Alaska","02",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0400000US02",,"02","Alaska",345260,15672,14920,314668,228094,8596,8195,211303,40413,1835,2031,36547,3631,451,307,2873,24105,2038,2179,19888,18241,1514,1257,15470,30776,1238,951,28587,267865,27289,9875,17414,240576,15943,224633,"Alaska",2710,935,1057,2784,2915,756,793,2915,2112,377,461,1895,499,151,258,445,1244,322,382,1208,1117,375,200,957,1654,272,297,1594,1441,1073,701,833,1552,954,1674
"G040","2019-2023","AZ",,,"Arizona","04",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0400000US04",,"04","Arizona",3288835,189542,182152,2917141,2260136,122526,126288,2011322,323409,25061,22774,275574,37773,5996,4857,26920,49980,7695,4134,38151,74821,8741,5518,60562,542716,19523,18581,504612,2796790,282772,110999,171773,2514018,227482,2286536,"Arizona",9054,4382,3763,10325,9353,3291,3240,9941,5956,1724,1320,5935,2210,794,802,1803,2376,969,627,1829,2754,1134,653,2293,7497,1583,1141,7345,6018,4092,2598,3719,7720,4203,8753
"G050","2019-2023","AR",,,"Arkansas","05",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0400000US05",,"05","Arkansas",1303811,90332,97878,1115601,1041259,66292,74878,900089,126042,12750,13978,99314,3744,725,595,2424,16962,3137,1948,11877,14927,2392,1095,11440,100877,5036,5384,90457,1189160,124380,67893,56487,1064780,124141,940639,"Arkansas",7027,2589,3170,7994,7341,2442,2551,7895,3739,1063,1042,2950,525,216,249,425,1028,494,357,968,1127,402,260,1002,2734,685,802,2656,4619,2699,2196,1996,5016,2914,5323
"G060","2019-2023","CA",,,"California","06",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0400000US06",,"06","California",18208172,918818,935212,16354142,12266365,578371,627932,11060062,1727532,115408,122266,1489858,587675,57785,44866,485024,380610,40594,29469,310547,427438,34610,28659,364169,2818552,92050,82020,2644482,13434847,1526052,546140,979912,11908795,1031279,10877516,"California",23153,10003,10050,26940,24768,7691,7549,25074,14549,3191,3869,14022,6454,2396,1871,5679,5783,1806,1363,5764,6193,1742,1425,5924,17346,2872,2509,16970,19805,9525,6786,7721,22615,8522,25315
"G080","2019-2023","CO",,,"Colorado","08",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0400000US08",,"08","Colorado",3014506,141564,124646,2748296,2023692,92997,84253,1846442,236770,14481,14449,207840,57762,6353,4002,47407,65112,7656,4864,52592,62611,4691,3331,54589,568559,15386,13747,539426,2325576,186848,70431,116417,2138728,150613,1988115,"Colorado",8285,3489,3521,9981,9324,2458,2736,9730,5119,1164,1140,4519,2301,916,589,1992,2518,706,597,2205,2130,651,541,1939,6755,1073,1157,6887,4759,3439,2047,2912,5991,2972,6528
"G090","2019-2023","CT",,,"Connecticut","09",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0400000US09",,"09","Connecticut",1782038,73247,66276,1642515,1267267,45206,44965,1177096,136911,8615,8490,119806,60687,6131,3699,50857,38011,4509,3847,29655,26310,2532,1550,22228,252852,6254,3725,242873,1420170,165735,69290,96445,1254435,80466,1173969,"Connecticut",7455,2854,2593,8897,8132,2193,2092,8477,3680,952,946,3583,2039,728,555,1960,1573,733,805,1264,1499,481,333,1432,4372,701,545,4332,3490,3077,2136,2940,4653,2746,4891
"G100","2019-2023","DE",,,"Delaware","10",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0400000US10",,"10","Delaware",472304,22877,20490,428937,347997,14348,14352,319297,37522,2891,2505,32126,8510,1367,715,6428,8292,1210,872,6210,7051,887,687,5477,62932,2174,1359,59399,396209,43021,15326,27695,353188,25423,327765,"Delaware",2949,1917,1336,3826,3597,1357,1042,3890,2159,528,526,1914,833,318,214,721,826,289,340,810,876,340,260,732,2289,416,336,2229,1648,1630,1105,1560,2180,1539,2428
"G110","2019-2023","DC",,,"District of Columbia","11",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0400000US11",,"11","District of Columbia",363060,15030,9800,338230,103508,2915,2756,97837,15634,798,1067,13769,81626,5171,3199,73256,34381,2290,698,31393,21216,983,446,19787,106695,2873,1634,102188,321556,42590,20805,21785,278966,21382,257584,"District of Columbia",2668,1331,975,2980,2534,551,583,2524,1083,272,403,1028,2711,834,599,2543,1549,523,174,1537,1584,316,136,1490,3033,455,446,2919,1499,1770,1482,1214,2083,1147,2209
"G120","2019-2023","FL",,,"Florida","12",,,,,,,,,,,,,,,".",".",,,,,,,,,,,,"0400000US12",,"12","Florida",10038351,558398,615921,8864032,7252656,370688,431419,6450549,902869,68715,77893,756261,124789,21751,16708,86330,125240,16439,12871,95930,236164,26398,23038,186728,1396633,54407,53992,1288234,8550911,1078978,395474,683504,7471933,681888,6790045,"Florida",18872,9363,9828,23441,20981,7023,7768,21019,11492,2875,3214,10839,4270,1452,1710,3578,4346,1402,1280,3324,5224,1840,1886,4622,12681,2614,2293,12837,21145,8952,5914,7803,21459,7238,22496
