searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType
Equisetum arvense,7924597,Equisetum arvense,<i>Equisetum</i> <i>arvense</i> L.,SPECIES,Equisetaceae,3105,Equisetum,2687913,Equisetum arvense,7924597,100,EXACT
Botrychium virginianum,7917024,Botrychium virginianum,"<i>Botrychium</i> <i>virginianum</i> Hook.f., 1850",SPECIES,Ophioglossaceae,6627,Botrychium,2650152,Botrychium virginianum,7917024,99,EXACT
Pteridium aquilinum,5275012,Pteridium aquilinum,<i>Pteridium</i> <i>aquilinum</i> (L.) Kuhn,SPECIES,Dennstaedtiaceae,6623,Pteridium,5275011,Pteridium aquilinum,5275012,100,EXACT
Zamia floridana,5284056,Zamia floridana,<i>Zamia</i> <i>floridana</i> A.DC.,SPECIES,Zamiaceae,5375,Zamia,2683306,Zamia integrifolia,5284049,100,EXACT
Osmunda cinnamomea,2651326,Osmunda cinnamomea,<i>Osmunda</i> <i>cinnamomea</i> L.,SPECIES,Osmundaceae,2370,Osmundastrum,7319889,Osmundastrum cinnamomeum,7319895,100,EXACT
Matteucia struthiopteris,2650999,Matteuccia struthiopteris,<i>Matteuccia</i> <i>struthiopteris</i> (L.) Tod.,SPECIES,Onocleaceae,3229275,Matteuccia,2650998,Matteuccia struthiopteris,2650999,89,VARIANT
Athyrium filix-femina,5275044,Athyrium filix-femina,<i>Athyrium</i> <i>filix-femina</i> (L.) Roth,SPECIES,Athyriaceae,4922264,Athyrium,2650888,Athyrium filix-femina,5275044,99,EXACT
Sabal palmetto,4925538,Sabal palmetto,<i>Sabal</i> <i>palmetto</i> (Walter) Lodd. ex Schult. & Schult.f.,SPECIES,Arecaceae,7681,Sabal,2732480,Sabal palmetto,4925538,99,EXACT
Serenoa repens,2735055,Serenoa repens,<i>Serenoa</i> <i>repens</i> (W.Bartram) Small,SPECIES,Arecaceae,7681,Serenoa,2735054,Serenoa repens,2735055,100,EXACT
Sabal minor,2732511,Sabal minor,<i>Sabal</i> <i>minor</i> (Jacq.) Pers.,SPECIES,Arecaceae,7681,Sabal,2732480,Sabal minor,2732511,100,EXACT
Coryphantha missouriensis,6382387,Coryphantha missouriensis,<i>Coryphantha</i> <i>missouriensis</i> (Sweet) Britton & Rose,SPECIES,Cactaceae,2519,Pelecyphora,3231951,Pelecyphora missouriensis,11426715,100,EXACT
Opuntia,9502688,Opuntia,<i>Opuntia</i> sp.,SPECIES,Cactaceae,2519,Opuntia,3084187,Opuntia,9502688,98,HIGHERRANK
Cylindropuntia imbricata,6381277,Cylindropuntia imbricata,<i>Cylindropuntia</i> <i>imbricata</i> (Haw.) F.M.Knuth,SPECIES,Cactaceae,2519,Cylindropuntia,7628502,Cylindropuntia imbricata,6381277,100,EXACT
Salicornia glasswort,3083796,Salicornia,<i>Salicornia</i> L.,GENUS,Amaranthaceae,3064,Salicornia,3083796,,,95,HIGHERRANK
Morus alba,5361889,Morus alba,<i>Morus</i> <i>alba</i> L.,SPECIES,Moraceae,6640,Morus,2984545,Morus alba,5361889,99,EXACT
Morus rubra,5361886,Morus rubra,<i>Morus</i> <i>rubra</i> L.,SPECIES,Moraceae,6640,Morus,2984545,Morus rubra,5361886,99,EXACT
Rubus odoratus,2994912,Rubus odoratus,<i>Rubus</i> <i>odoratus</i> L.,SPECIES,Rosaceae,5015,Rubus,2988638,Rubus odoratus,2994912,100,EXACT
Rubus idaeus,2993094,Rubus idaeus,<i>Rubus</i> <i>idaeus</i> L.,SPECIES,Rosaceae,5015,Rubus,2988638,Rubus idaeus,2993094,99,EXACT
Rubus phoenicolasius,2995149,Rubus phoenicolasius,<i>Rubus</i> <i>phoenicolasius</i> Maxim.,SPECIES,Rosaceae,5015,Rubus,2988638,Rubus phoenicolasius,2995149,100,EXACT
Rubus occidentalis,2991466,Rubus occidentalis,<i>Rubus</i> <i>occidentalis</i> L.,SPECIES,Rosaceae,5015,Rubus,2988638,Rubus occidentalis,2991466,99,EXACT
