searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType,searched_sp,matched_sp,scientificName,first_of_searched,first_of_binomial,first_of_canonical
Equisetum arvense,7924597,Equisetum arvense,<i>Equisetum</i> <i>arvense</i> L.,SPECIES,Equisetaceae,3105.0,Equisetum,2687913.0,Equisetum arvense,7924597.0,100,EXACT,2,2,Equisetum arvense,Equisetum,Equisetum,Equisetum
Botrychium virginianum,7917024,Botrychium virginianum,"<i>Botrychium</i> <i>virginianum</i> Hook.f., 1850",SPECIES,Ophioglossaceae,6627.0,Botrychium,2650152.0,Botrychium virginianum,7917024.0,99,EXACT,2,2,Botrychium virginianum,Botrychium,Botrychium,Botrychium
Pteridium aquilinum,5275012,Pteridium aquilinum,<i>Pteridium</i> <i>aquilinum</i> (L.) Kuhn,SPECIES,Dennstaedtiaceae,6623.0,Pteridium,5275011.0,Pteridium aquilinum,5275012.0,100,EXACT,2,2,Pteridium aquilinum,Pteridium,Pteridium,Pteridium
Zamia floridana,5284056,Zamia floridana,<i>Zamia</i> <i>floridana</i> A.DC.,SPECIES,Zamiaceae,5375.0,Zamia,2683306.0,Zamia integrifolia,5284049.0,100,EXACT,2,2,Zamia floridana,Zamia,Zamia,Zamia
Osmunda cinnamomea,2651326,Osmunda cinnamomea,<i>Osmunda</i> <i>cinnamomea</i> L.,SPECIES,Osmundaceae,2370.0,Osmundastrum,7319889.0,Osmundastrum cinnamomeum,7319895.0,100,EXACT,2,2,Osmunda cinnamomea,Osmunda,Osmunda,Osmunda
Matteucia struthiopteris,2650999,Matteuccia struthiopteris,<i>Matteuccia</i> <i>struthiopteris</i> (L.) Tod.,SPECIES,Onocleaceae,3229275.0,Matteuccia,2650998.0,Matteuccia struthiopteris,2650999.0,89,VARIANT,2,2,Matteuccia struthiopteris,Matteucia,Matteuccia,Matteuccia
Athyrium filix-femina,5275044,Athyrium filix-femina,<i>Athyrium</i> <i>filix-femina</i> (L.) Roth,SPECIES,Athyriaceae,4922264.0,Athyrium,2650888.0,Athyrium filix-femina,5275044.0,99,EXACT,2,2,Athyrium filix-femina,Athyrium,Athyrium,Athyrium
Sabal palmetto,4925538,Sabal palmetto,<i>Sabal</i> <i>palmetto</i> (Walter) Lodd. ex Schult. & Schult.f.,SPECIES,Arecaceae,7681.0,Sabal,2732480.0,Sabal palmetto,4925538.0,99,EXACT,2,2,Sabal palmetto,Sabal,Sabal,Sabal
Serenoa repens,2735055,Serenoa repens,<i>Serenoa</i> <i>repens</i> (W.Bartram) Small,SPECIES,Arecaceae,7681.0,Serenoa,2735054.0,Serenoa repens,2735055.0,100,EXACT,2,2,Serenoa repens,Serenoa,Serenoa,Serenoa
Sabal minor,2732511,Sabal minor,<i>Sabal</i> <i>minor</i> (Jacq.) Pers.,SPECIES,Arecaceae,7681.0,Sabal,2732480.0,Sabal minor,2732511.0,100,EXACT,2,2,Sabal minor,Sabal,Sabal,Sabal
Coryphantha missouriensis,6382387,Coryphantha missouriensis,<i>Coryphantha</i> <i>missouriensis</i> (Sweet) Britton & Rose,SPECIES,Cactaceae,2519.0,Pelecyphora,3231951.0,Pelecyphora missouriensis,11426715.0,100,EXACT,2,2,Coryphantha missouriensis,Coryphantha,Coryphantha,Coryphantha
Opuntia,9502688,Opuntia,<i>Opuntia</i> sp.,SPECIES,Cactaceae,2519.0,Opuntia,3084187.0,Opuntia,9502688.0,98,HIGHERRANK,1,1,Opuntia,Opuntia,Opuntia,Opuntia
Cylindropuntia imbricata,6381277,Cylindropuntia imbricata,<i>Cylindropuntia</i> <i>imbricata</i> (Haw.) F.M.Knuth,SPECIES,Cactaceae,2519.0,Cylindropuntia,7628502.0,Cylindropuntia imbricata,6381277.0,100,EXACT,2,2,Cylindropuntia imbricata,Cylindropuntia,Cylindropuntia,Cylindropuntia
Salicornia glasswort,3083796,Salicornia,<i>Salicornia</i> L.,GENUS,Amaranthaceae,3064.0,Salicornia,3083796.0,,,95,HIGHERRANK,2,1,Salicornia,Salicornia,Salicornia,Salicornia
Morus alba,5361889,Morus alba,<i>Morus</i> <i>alba</i> L.,SPECIES,Moraceae,6640.0,Morus,2984545.0,Morus alba,5361889.0,99,EXACT,2,2,Morus alba,Morus,Morus,Morus
Morus rubra,5361886,Morus rubra,<i>Morus</i> <i>rubra</i> L.,SPECIES,Moraceae,6640.0,Morus,2984545.0,Morus rubra,5361886.0,99,EXACT,2,2,Morus rubra,Morus,Morus,Morus
Rubus odoratus,2994912,Rubus odoratus,<i>Rubus</i> <i>odoratus</i> L.,SPECIES,Rosaceae,5015.0,Rubus,2988638.0,Rubus odoratus,2994912.0,100,EXACT,2,2,Rubus odoratus,Rubus,Rubus,Rubus
Rubus idaeus,2993094,Rubus idaeus,<i>Rubus</i> <i>idaeus</i> L.,SPECIES,Rosaceae,5015.0,Rubus,2988638.0,Rubus idaeus,2993094.0,99,EXACT,2,2,Rubus idaeus,Rubus,Rubus,Rubus
Rubus phoenicolasius,2995149,Rubus phoenicolasius,<i>Rubus</i> <i>phoenicolasius</i> Maxim.,SPECIES,Rosaceae,5015.0,Rubus,2988638.0,Rubus phoenicolasius,2995149.0,100,EXACT,2,2,Rubus phoenicolasius,Rubus,Rubus,Rubus
Rubus occidentalis,2991466,Rubus occidentalis,<i>Rubus</i> <i>occidentalis</i> L.,SPECIES,Rosaceae,5015.0,Rubus,2988638.0,Rubus occidentalis,2991466.0,99,EXACT,2,2,Rubus occidentalis,Rubus,Rubus,Rubus
Rubus,2988638,Rubus,<i>Rubus</i> L.,GENUS,Rosaceae,5015.0,Rubus,2988638.0,,,96,HIGHERRANK,1,1,Rubus,Rubus,Rubus,Rubus
Rubus chamaemorus,2998290,Rubus chamaemorus,<i>Rubus</i> <i>chamaemorus</i> L.,SPECIES,Rosaceae,5015.0,Rubus,2988638.0,Rubus chamaemorus,2998290.0,99,EXACT,2,2,Rubus chamaemorus,Rubus,Rubus,Rubus
Rubus pubescens,2989228,Rubus pubescens,<i>Rubus</i> <i>pubescens</i> Raf.,SPECIES,Rosaceae,5015.0,Rubus,2988638.0,Rubus pubescens,2989228.0,99,EXACT,2,2,Rubus pubescens,Rubus,Rubus,Rubus
Rubus arcticus,2992051,Rubus arcticus,<i>Rubus</i> <i>arcticus</i> L.,SPECIES,Rosaceae,5015.0,Rubus,2988638.0,Rubus arcticus,2992051.0,99,EXACT,2,2,Rubus arcticus,Rubus,Rubus,Rubus
Pinus,2684241,Pinus,<i>Pinus</i> L.,GENUS,Pinaceae,3925.0,Pinus,2684241.0,,,80,HIGHERRANK,1,1,Pinus,Pinus,Pinus,Pinus
Picea,7606064,Picea,<i>Picea</i> A.Dietr.,GENUS,Pinaceae,3925.0,Picea,7606064.0,,,95,HIGHERRANK,1,1,Picea,Picea,Picea,Picea
Abies balsamea,2685383,Abies balsamea,<i>Abies</i> <i>balsamea</i> (L.) Mill.,SPECIES,Pinaceae,3925.0,Abies,2684876.0,Abies balsamea,2685383.0,100,EXACT,2,2,Abies balsamea,Abies,Abies,Abies
Tsuga canadensis,2687182,Tsuga canadensis,<i>Tsuga</i> <i>canadensis</i> (L.) Carrière,SPECIES,Pinaceae,3925.0,Tsuga,8527396.0,Tsuga canadensis,2687182.0,100,EXACT,2,2,Tsuga canadensis,Tsuga,Tsuga,Tsuga
Batis maritima,5414196,Batis maritima,<i>Batis</i> <i>maritima</i> L.,SPECIES,Bataceae,6353.0,Batis,2870361.0,Batis maritima,5414196.0,100,EXACT,2,2,Batis maritima,Batis,Batis,Batis
Empetrum nigrum,8925249,Empetrum nigrum,<i>Empetrum</i> <i>nigrum</i> L.,SPECIES,Ericaceae,2505.0,Empetrum,2888367.0,Empetrum nigrum,8925249.0,100,EXACT,2,2,Empetrum nigrum,Empetrum,Empetrum,Empetrum
Juniperus communis,2684709,Juniperus communis,<i>Juniperus</i> <i>communis</i> L.,SPECIES,Cupressaceae,8144.0,Juniperus,2684359.0,Juniperus communis,2684709.0,99,EXACT,2,2,Juniperus communis,Juniperus,Juniperus,Juniperus
Juniperus virginiana,2684391,Juniperus virginiana,<i>Juniperus</i> <i>virginiana</i> L.,SPECIES,Cupressaceae,8144.0,Juniperus,2684359.0,Juniperus virginiana,2684391.0,99,EXACT,2,2,Juniperus virginiana,Juniperus,Juniperus,Juniperus
Taxus canadensis,5284570,Taxus canadensis,<i>Taxus</i> <i>canadensis</i> Marshall,SPECIES,Taxaceae,4863.0,Taxus,2684902.0,Taxus canadensis,5284570.0,99,EXACT,2,2,Taxus canadensis,Taxus,Taxus,Taxus
Juglans nigra,3054357,Juglans nigra,<i>Juglans</i> <i>nigra</i> L.,SPECIES,Juglandaceae,2499.0,Juglans,3054350.0,Juglans nigra,3054357.0,99,EXACT,2,2,Juglans nigra,Juglans,Juglans,Juglans
Juglans cinerea,3054352,Juglans cinerea,<i>Juglans</i> <i>cinerea</i> L.,SPECIES,Juglandaceae,2499.0,Juglans,3054350.0,Juglans cinerea,3054352.0,100,EXACT,2,2,Juglans cinerea,Juglans,Juglans,Juglans
Carya,3054287,Carya,<i>Carya</i> Nutt.,GENUS,Juglandaceae,2499.0,Carya,3054287.0,,,80,HIGHERRANK,1,1,Carya,Carya,Carya,Carya
Carya laciniosa,7915743,Carya laciniosa,<i>Carya</i> <i>laciniosa</i> (F.Michx.) Loudon,SPECIES,Juglandaceae,2499.0,Carya,3054287.0,Carya laciniosa,7915743.0,99,EXACT,2,2,Carya laciniosa,Carya,Carya,Carya
Carya glabra,3054325,Carya glabra,<i>Carya</i> <i>glabra</i> (Mill.) Sweet,SPECIES,Juglandaceae,2499.0,Carya,3054287.0,Carya glabra,3054325.0,100,EXACT,2,2,Carya glabra,Carya,Carya,Carya
Fagus grandifolia,2882274,Fagus grandifolia,<i>Fagus</i> <i>grandifolia</i> Ehrh.,SPECIES,Fagaceae,4689.0,Fagus,2874875.0,Fagus grandifolia,2882274.0,100,EXACT,2,2,Fagus grandifolia,Fagus,Fagus,Fagus
Castanea dentata,5333230,Castanea dentata,<i>Castanea</i> <i>dentata</i> (Marshall) Borkh.,SPECIES,Fagaceae,4689.0,Castanea,2882140.0,Castanea dentata,5333230.0,99,EXACT,2,2,Castanea dentata,Castanea,Castanea,Castanea
Castanea pumila,5333212,Castanea pumila,<i>Castanea</i> <i>pumila</i> (L.) Mill.,SPECIES,Fagaceae,4689.0,Castanea,2882140.0,Castanea pumila,5333212.0,99,EXACT,2,2,Castanea pumila,Castanea,Castanea,Castanea
Corylus,2875967,Corylus,<i>Corylus</i> L.,GENUS,Betulaceae,4688.0,Corylus,2875967.0,,,80,HIGHERRANK,1,1,Corylus,Corylus,Corylus,Corylus
Corylus cornuta,2876032,Corylus cornuta,<i>Corylus</i> <i>cornuta</i> Marshall,SPECIES,Betulaceae,4688.0,Corylus,2875967.0,Corylus cornuta,2876032.0,99,EXACT,2,2,Corylus cornuta,Corylus,Corylus,Corylus
Corylus americana,2876060,Corylus americana,<i>Corylus</i> <i>americana</i> Walter,SPECIES,Betulaceae,4688.0,Corylus,2875967.0,Corylus americana,2876060.0,99,EXACT,2,2,Corylus americana,Corylus,Corylus,Corylus
Quercus,2877951,Quercus,<i>Quercus</i> L.,GENUS,Fagaceae,4689.0,Quercus,2877951.0,,,80,HIGHERRANK,1,1,Quercus,Quercus,Quercus,Quercus
Quercus rubra,2880539,Quercus rubra,<i>Quercus</i> <i>rubra</i> L.,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus rubra,2880539.0,99,EXACT,2,2,Quercus rubra,Quercus,Quercus,Quercus
Quercus alba,2879737,Quercus alba,<i>Quercus</i> <i>alba</i> L.,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus alba,2879737.0,99,EXACT,2,2,Quercus alba,Quercus,Quercus,Quercus
Quercus macrocarpa,2878213,Quercus macrocarpa,<i>Quercus</i> <i>macrocarpa</i> Michx.,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus macrocarpa,2878213.0,99,EXACT,2,2,Quercus macrocarpa,Quercus,Quercus,Quercus
Quercus michauxii,2880340,Quercus michauxii,<i>Quercus</i> <i>michauxii</i> Nutt.,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus michauxii,2880340.0,99,EXACT,2,2,Quercus michauxii,Quercus,Quercus,Quercus
Quercus montana,2881118,Quercus montana,<i>Quercus</i> <i>montana</i> Willd.,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus montana,2881118.0,99,EXACT,2,2,Quercus montana,Quercus,Quercus,Quercus
Quercus virginiana,2878092,Quercus virginiana,<i>Quercus</i> <i>virginiana</i> Mill.,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus virginiana,2878092.0,100,EXACT,2,2,Quercus virginiana,Quercus,Quercus,Quercus
Rosa,11360568,Rosa,<i>Rosa</i> sp. Lej.,SPECIES,Rosaceae,5015.0,Rosa,8395064.0,Rosa mollis,3003048.0,97,HIGHERRANK,1,1,Rosa,Rosa,Rosa,Rosa
Citrus trifoliata,3190129,Citrus trifoliata,<i>Citrus</i> <i>trifoliata</i> L.,SPECIES,Rutaceae,2396.0,Citrus,3190155.0,Citrus trifoliata,3190129.0,99,EXACT,2,2,Citrus trifoliata,Citrus,Citrus,Citrus
Diospyros virginiana,3032986,Diospyros virginiana,<i>Diospyros</i> <i>virginiana</i> L.,SPECIES,Ebenaceae,6709.0,Diospyros,3030169.0,Diospyros virginiana,3032986.0,100,EXACT,2,2,Diospyros virginiana,Diospyros,Diospyros,Diospyros
Diospyros texanum,3032981,Diospyros texana,<i>Diospyros</i> <i>texana</i> Scheele,SPECIES,Ebenaceae,6709.0,Diospyros,3030169.0,Diospyros texana,3032981.0,98,VARIANT,2,2,Diospyros texana,Diospyros,Diospyros,Diospyros
Asimina triloba,3158040,Asimina triloba,<i>Asimina</i> <i>triloba</i> (L.) Dunal,SPECIES,Annonaceae,9291.0,Asimina,3158021.0,Asimina triloba,3158040.0,99,EXACT,2,2,Asimina triloba,Asimina,Asimina,Asimina
Nyssa ogeche,5383722,Nyssa ogeche,<i>Nyssa</i> <i>ogeche</i> W.Bartram ex Marshall,SPECIES,Nyssaceae,6712.0,Nyssa,3082211.0,Nyssa ogeche,5383722.0,99,EXACT,2,2,Nyssa ogeche,Nyssa,Nyssa,Nyssa
Malus,3001068,Malus,<i>Malus</i> Mill.,GENUS,Rosaceae,5015.0,Malus,3001068.0,,,80,HIGHERRANK,1,1,Malus,Malus,Malus,Malus
Malus domestica,3001244,Malus domestica,<i>Malus</i> <i>domestica</i> (Suckow) Borkh.,SPECIES,Rosaceae,5015.0,Malus,3001068.0,Malus domestica,3001244.0,99,EXACT,2,2,Malus domestica,Malus,Malus,Malus
Prunus,11580994,Prunus,"<i>Prunus</i> sp. (Mill.) D.A.Webb, 1967",SPECIES,Rosaceae,5015.0,Prunus,3020559.0,Prunus,11580994.0,97,HIGHERRANK,1,1,Prunus,Prunus,Prunus,Prunus
Sorbus,3012146,Sorbus,<i>Sorbus</i> L.,GENUS,Rosaceae,5015.0,Sorbus,3012146.0,,,80,HIGHERRANK,1,1,Sorbus,Sorbus,Sorbus,Sorbus
