,source,scientific_name,Mistral_edibles
0,000001-a.json, Pteridium aquilinum,['fiddleheads']
1,000001-b.json, Morus alba,"['berries', 'Young leaves']"
2,000002-b.json, Rubus odoratus,"['berries', 'primocane shoots']"
3,000003-a.json, Athyrium filix-femina,['fiddleheads']
4,000003-b.json,Rubus phoenicolasius,"['berries', 'shoots']"
5,000004-b.json,Rubus bilis,['berries']
6,000005-a.json, Coryphantha missouriensis,['fruits']
7,000005-b.json, Rubus chamaemorus,['berries']
8,000006-b.json, Rubus arcticus,['berries']
9,000008-a.json, Rubus occidentalis,['berries']
10,000008-b.json, Abies balsamea,['immature seedcones']
11,000009-a.json, Rubus dewberry,['berries']
12,000009-b.json, Batis maritima,"['leaves', 'branch tips']"
13,000010-a.json, Rubus pubescens,['berries']
14,000010-b.json, Juniperus communis,"['berries', 'tips', 'needles']"
15,000011-a.json,Picea engelamanii,"['inner bark', 'shoots']"
16,000011-b.json, Juglans cinerea,['nuts']
17,000012-a.json, Tsuga canadensis,"['bark', 'inner bark']"
18,000013-a.json, Empetrum nigrum,['berries']
19,000015-a.json, Juglans nigra,['nuts']
20,000015-b.json, Castanea dentata,['nuts']
21,000016-a.json,Rosa rugosa,['nuts']
22,000016-b.json, Corylus betulaceae,['hazelnuts']
23,000017-b.json,Quercus,['acorns']
24,000019-a.json, Fagus grandifolia,['nuts']
25,000020-a.json, Castanea pumila,['nuts']
26,000020-b.json, Citrus trifoliata,['oranges']
27,000021-b.json, Diospyros texanum,['fruit']
28,000022-b.json, Nyssa ogeche,['fruits']
29,000023-b.json,Malus domestica,['fruit']
30,000025-a.json, Diospyros virginiana,"['fruit', 'pulp']"
32,000026-a.json,Malus,['apples']
33,000027-a.json, Aralia spinosa,['shoots']
34,000027-b.json, Prunus serotina,['cherries']
36,000028-b.json, Prunus avium,['cherries']
37,000029-a.json, Prunus pensylvanica,['fruit']
38,000029-b.json, Elaeagnus angustifolia,['fruit']
40,000030-b.json, Sassafras albidum,"['leaves', 'roots', 'bark']"
41,000031-a.json, Cornus mas,['fruit']
42,000031-b.json,Amelanchier,['berries']
43,000032-a.json, Sideroxylon tanuginosum,['fruit']
44,000033-a.json, Gymnocladus dioicus,"['pods', 'seeds']"
45,000033-b.json, Cercis canadensis,"['flowers', 'newly formed young pods']"
46,000034-a.json, Gleditsia triacanthos,"['pulp', 'seeds']"
47,000034-b.json, Prosopis glandulosa,['pods']
48,000035-a.json,Abies balsamea,"['flowers', 'beans']"
49,000036-a.json, Populus tremuloides,['cambium']
50,000037-b.json,Betula,"['sap', 'inner bark']"
51,000038-b.json, Acer sapindaceae,['sap']
52,000040-a.json, Mitchella repens,['berries']
53,000042-a.json, Gaultheria procumbens,"['berries', 'leaves']"
54,000043-a.json, Arctous rubra,['berries']
55,000043-b.json, Arctostaphylos uva-ursi,['berries']
56,000044-a.json, Sambucus racemosa,"['berries', 'flowers']"
57,000044-b.json, Shepherdia argentea,"['buf-faloberries', 'seeds']"
58,000045-a.json, Shepherdia canadensis,['berries']
59,000045-b.json, Elaeagnus umbellata,['berries']
60,000046-b.json, Viburnum edule,['berries']
61,000048-a.json, Mahonia trifoliata,['berries']
62,000049-a.json, Lycium carolinianum,"['fruit', 'succulentsaity leaves']"
63,000050-a.json, Ribes glandulosum,['berries']
64,000050-b.json, Ribes triste,['berries']
65,000051-a.json,ilex vomitoria,['leaves']
66,000052-a.json, Vaccinium stamineum,['berries']
67,000053-a.json, Cornus stolonifera,['berries']
69,000056-a.json, Ribes grossularia,['berries']
70,000057-a.json, Callicarpa americana,['berries']
71,000058-a.json, Vaccinium arboreum,['berries']
72,000058-b.json, Lonicera caerulaea,['berries']
73,000059-b.json, Aronia melanocarpa,['berries']
74,000060-a.json, Zanthoxylum americanum,"['dried fruit', 'leaves']"
75,000061-a.json, Comptonia peregrina,['leaves']
76,000062-a.json, Myrica gale,"['leaves', 'flower buds', 'fruits']"
77,000063-a.json, Ledum groenlandicum,['leaves']
78,000065-a.json, Ampelopsis arborea,['fruit']
79,000066-a.json, Lonicera white,['flowers']
80,000067-a.json, Pueraria lobata,"['starch', 'shoots', 'tender young leaves', 'flowers', 'flower buds']"
81,000069-a.json, Zizaniopsis miliaceae,"['shoots', 'lateral rhizomes', 'seeds']"
82,000071-a.json,Typha latifolia,"['rhizomes', ' cores', ' heart', ' green to with grain or you vegetables', ' male flowers', ' pollen']"
83,000073-a.json, Nasturtium officinale,['greens']
84,000074-a.json, Water parsnip,"['roots', 'young stems', 'leaves', 'leaf shoots']"
85,000075-b.json, Zizania palustris\nZizania aquatica,['kernels']
86,000076-a.json, Veronica americana,['tips']
87,000077-a.json, Trapa natans,['nuts']
88,000078-a.json, Sagittaria latifolia,['tubers']
89,000079-a.json,Plantago aquatica,"['corms', 'Young leaves', 'Young shoots']"
90,000080-a.json, Nelumbo lutea,"['tubers', ' nuts']"
91,000081-a.json, Peltandra virginica,['rootstock']
92,000082-a.json, Allium vineale,"['leaves', 'scapes', 'flower buds', 'green pods']"
93,000082-b.json, Alternanthera philoxeroides,"['Young leaves', 'stem tips']"
95,000085-a.json, Allium drummondii,"['bulbs', 'greens']"
97,000087-a.json, Hemerocallis fulva,"['tubers', 'whitish heart', 'shoots', 'flowerbuds', 'flowers']"
98,000087-b.json, Colocasia esculenta,['corms']
99,000089-a.json,Phyllostachys aurea,"['shoots', 'ripe grains']"
100,000090-a.json, Oryzopsis hymenoides,['seeds']
101,000091-a.json, Hordeum pusillum,['seeds']
102,000091-b.json, Allium sativum,"['bulbs', 'young greens', 'scapes']"
103,000092-a.json, Plantago maritima,"['leaves', 'Young flowerstalks']"
104,000092-b.json, Allium onion,"['bulbs', 'leaves']"
105,000094-a.json, Triglochin maritima,"['heart', 'shoots']"
106,000097-a.json, Asarum canadense,['rhizomes']
107,000098-a.json, Clintonia borealis,['young leaves']
108,000099-a.json, Oxyria digyna,['leaves']
109,000100-a.json,Plantago major,"['leaves', 'immature spikes', 'ripe pods']"
110,000100-b.json, Liatris punctata,['roots']
111,000101-a.json, Viola sagittata,"['Young leaves', 'peduncles', 'flowers']"
113,000102-b.json, Nothoscordum bivalve,['bulbs']
114,000103-a.json, Pyrrhopappus grandiflorus,"['digged bulbs', 'Young leaves', 'Young scapes']"
115,000105-a.json, Bellis perennis,['leaves']
116,000106-a.json, Tussilago farfara,"['shoots', 'young leaves']"
117,000107-a.json, Hydrocotyle bonariensis,"['leaves', 'petioles']"
118,000108-b.json, Dodecatheon pulchellum,"['greens', 'shoots']"
119,000109-a.json, Trifolium repens,"['leaves', 'flowers']"
120,000110-a.json, Musineon tenuifolium,"['leaves', 'roots']"
121,000111-a.json, Cymopterus montanus,['roots']
122,000112-a.json,Fragaria rosmarus,['strawberries']
123,000113-a.json, Pediomelum hypogaeum,['roots']
124,000113-b.json, Hypochaeris radicata,"['leaves', 'shoots']"
125,000114-a.json, Mollugo verticillata,['leaves']
126,000115-a.json, Salvia lyrata,['shoots']
127,000115-b.json, Micranthes micranthidifolia,"['shoots', 'leaves']"
128,000116-a.json,Valerianella,['tendergrowth']
