source,name_data,food_data,found_edibilty,Mistral_scientific_name,Mistral_edibles
000001-a.json,"['01', 'Bracken', 'fern', '2', '1', '3', 'Pteridium aquilinum family Dennstaedtiaceae']","FOOD USE: Fiddleheads, collected in spring and early summer, should only be consumedwell-cooked; they are carcinogenic when raw. In Asia they are commonly boiled, salted,and dried, then used later in soups or noodle dishes. Rhizomes are found 2-8"" (5-20 cm)deep and should be cleaned, roasted, and peeled when the tops are dormant; after this thestarch can be chewed out of the fibers, but it's only worth the time on the largest plants.Conservation 1/2.",True, Pteridium aquilinum,"
    'fiddleheads'"
000001-b.json,"['COMPOSED', 'OF', 'MULTIPLE', 'SMALL', 'FRUITLETS', '1', 'Asian', 'mulberry', '3', 'Morus', '2', 'alba', '[.!', 'IWE-231', 'Moraceae', '(Mulberry']","FOOD USE: Gather berries from the branches by hand or shake them onto a tarp or cloth. They can be dried,eaten fresh, or used in jams, jellies, pies, juice, or ice cream. Young leaves, especially on stump sprouts, can beeaten as a cooked green and have been traditionally dried and powdered as a flour additive. Note: the warningssometimes seen about mulberry sap being hallucinogenic seem overblown and irrelevant to normal food use.",True, Morus alba,"
    'berries','Young leaves'"
000002-b.json,"['IIIIIIII', 'los', 'PLANTS WITH FRUIT COMPOSED OF MULTIPLE SMALL FRUITLETS', '3 Purple-flowered raspberry', '2', 'Rubus odoratus Rosaceae (Rose family) [.]', '1', 'IWE-65']","FOOD USE: The berries ripen in late summer but are pro-duced sparsely, making them hard to collect in quantity Theyare rather dry, but the flavor is still good. Primocane shootsin late spring can be peeled and eaten raw. Conservation 1.",True, Rubus odoratus,"
    'berries','primocane shoots'"
000003-a.json,"['AND', 'HORSETAILS', '7', 'Lady fern', '2', 'Athyrium filix-femina family Athyriaceae']",FOOD USE:Gatherfewtendervfiddleheadsperplant when tips are stillcurled in spring. Useas a cooked vegetable.Conservation,True, Athyrium filix-femina,"
    'fiddleheads'"
000003-b.json,"['6 Wineberry', '3', '12', 'IWE-66', 'Rubus phoenicolasius Rosaceae (Rose family)', '3 fruit that detaches from the receptacle. ID difficulty,']","FOOD USE: Berries are excellent for all the uses of blackberries andraspberries, and the large clusters make them easy to collect. Theshoots are edible and peel easily.",True, Rubus phoenicolasius,"
    'berries','shoots'"
000004-b.json,"['1cm', 'PLANTS WITH FRUIT COMPOSED OF MULTIPLE SMALL FRUITLETS', '8 Blackberry', '3', '11', '3', 'IWE-60', 'genus Rubus (numerous species) Rosaceae (Rose family)']","FOOD USE: Berries can be collected faster than any other bramble berry. This is why we like to make juicefrom them. Their biggest drawback is the large seeds, but these can be removed by straining. Shoots areedible but slightly astringent and harder to peel than those of other brambles. Tufted shoots are a specializedstructure that appears on the common blackberry Rubus allegheniensis (and possibly other species) in responseto cutting or browsing of the regular shoots in early summer. These are thin, flimsy, and densely packed alongthe rhizome; they lack prickles and have ternate leaves only. A few weeks after forming they will rapidly anddie, usually succumbing to an orange blight. They are tender and delicious raw if you get them young enough,lacking the normal astringency of blackberry shoots, and do not need to be peeled. Conservation 1.",True," Rubus bilis (assuming 'Blackberry' is the specific species mentioned)

    Note: In case of ambiguity, prioritize the species name that is most commonly mentioned in the text.","
    'berries'"
000005-a.json,"['SUCCULENT LEAFLESS STEMS (CACTI AND GLASSWORT)', 'GROUP 2 SUCCULENT LEAFLESS STEMS (CACTI AND GLASSWORT)', 'is are rot related but share the feature of having thick, fleshy stems west', '(act and giasswor (or vestigia !eaves only). The diversity of edible cactiis much higher key.', 'of and no region. leaves Because this group contains only a few species, I have left out the', 'The our areole of a caclus is the depression from which a tuft of hairs, glochids, or spines', 'grows. Glochids are tiny, stiff, barbed hairs that painfully penetrate skin.', '1 Pincushion cactus 02', 'Coryphantha missouriensis Cactaceae (Cactus family)', 'HICK CHECK: Ground-level cactus with clusters of spines on nipple-like projections;', 'and bright red. ID difficulty 1.']","FOOD USE: The ripefruits are a 'un snackwill and weet flavor,available from spr.ngIt roughearly summer..1ambe hard to getthemwithout pricking yourEngen Conservation 1.",True, Coryphantha missouriensis,"
    'fruits'"
000005-b.json,"['10 Cloudberry', '3', 'IWE-68', 'Rubus chamaemorus Rosaceae (Rose family)']","FOOD USE: The berries get lighter, not darker, as they ripen. They can be used in almost any fruity dessertto great effect. Or just go out in the bog and stuff your face. Conservation 1.",True, Rubus chamaemorus,"
    'berries'"
000006-b.json,"['PLANTS WITH FRUIT COMPOSED OF MULTIPLE SMALL FRUITLETS', '12 Nagoonberry', '3 Lil IWE-67', 'Rubus arcticus Rosaceae (Rose family)']","FOOD USE: Berries ripen in late summer and are slow to gather, but worth it. Conservation",True, Rubus arcticus,"
    'berries'"
000008-a.json,"['PLANTS WITH FRUIT COMPOSED OF MULTIPLE SMALL FRUITLETS', '7 Black raspberry', '3', 'it', '3', 'IWE-63', 'Rubus occidentalis + Rosaceae (Rose family)']","FOOD USE: Berries ripen more uniformly than red raspberries, and this, coupled with their more clusteredstore Tij. possible to collect them faster. They are less acidic than red raspberries, and think they arehacking, but not as good for jam (although still great). The shoots peel easier than those ofcompleteand in my opinion taste the best. Conservation 1.NTS: The first jam I ever made, and still one of my favorites. This is possibly the most popular wildAmerica. Regularly hybridizes with red raspberry. AKA black cap.52PLANTSWITHFRUITCOMPOSEDOFMULTIPLESMALLFRUITLETS7Blackraspberry3it3IWE-63Rubusoccidentalis+Rosaceae(Rosefamily)QUICKCHECK:Bloom-coatedarchingstemswithscatteredprickles,rootingatthetip;blackfruitthatdetachesfromthereceptacle.IDdifficulty1.DESCRIPTION:Perennialspreadingbytip-rootingcanes.Canesarching,4-10'(1.2-3 m)long,greenorpurplewithathickwhitebloom,smoothandhairlessbetweenthescat-!eredbroad-basedprickles.Leavesalternate,ternatelycompound(rarely5leafletsonprimocanes),thesideleafletssessilebuttheterminallong-stalked.Petiolesprickly,notchanneled,aboutequaltobladelength.Leaflets1.5-4.5""(3.8-11 cm),roughlyovateThismapincludeswithirregularlytoothedmargins,occasionallylobed,theterminalleafletlargest.Bladesthewesternnearlyhairlessabovewithdepressedveins,whitishbeneathfromafinewoollycoating.counterpart,Inflarescenceashort,broadclusterof5-12.Flowerswithlong,pointed,cuppedsepalsR.leucodermis.andsmallerblunt.oval,whitepetals.Berryblackwhenripe,bloom-coated,0.3-0.6""(8--5across,detachingfromthewhitereceptacle.HABITATDryorwell-drainedsoilinfulltopartialsun,Likessandanddislikesclay.Roadsides,forestedges,lavannafieldsfencerows,vacantlots,pastures.Native.AFOODUSE:Berriesripenmoreuniformlythanredraspberries,andthis,coupledwiththeirmoreclusteredstoreTij.possibletocollectthemfaster.Theyarelessacidicthanredraspberries,andthinktheyarehacking,butnotasgoodforjam(althoughstillgreat).Theshootspeeleasierthanthoseofcompleteandinmyopiniontastethebest.Conservation1.NTS:ThefirstjamIevermade,andstilloneofmyfavorites.ThisispossiblythemostpopularwildAmerica.Regularlyhybridizeswithredraspberry.AKAblackcap.52",True, Rubus occidentalis,"
    'berries'"
