source,name_data,food_data,found_edibilty,Mistral_scientific_name
0001_a.txt,"Field horsetail
family Equisetaceae
Equisetum arvense
unbranched, tan fertile stem with sheaths of dark branches. scales
","FOOD USE: Pick the young, fertile stems before or during release of spores, while stems are still tender and
juicy. Bite off the sections between the nodes, discarding the bitter nodes along with their scaly sheaths.
(Some people cook them whole with the scales attached.) This plant also produces tiny edible tubers on thin
rhizomes but these are too small and scattered to warrant collecting. Conservation 1.
",True, Equisetum arvense
0001_b.txt,"ARD
HORSETAILS
2 Rattlesnake fern
3
Botrychium virginianum
family Ophioglossaceae
","FOOD USE: Fronds as a cooked green. Best in spring when very tender, but unlike most ferns the fromus
remain relatively tender through the summer and can be eaten even in autumn after they have been tour hed
with frost, which turns them reddish brown and sweetens them slightly. Conservation 2.
",True, Botrychium virginianum
0002_a.txt,"1
3
Pteridium aquilinum 2 family Dennstaedtiaceae
Bracken fern
","FOOD USE: Fiddleheads, collected in spring and early summer, should only be consumed
well-cooked; they are carcinogenic when raw. In Asia they are commonly boiled, salted,
and dried, then used later in soups or noodle dishes. Rhizomes are found 2-8"" (5-20 cm)
deep and should be cleaned, roasted, and peeled when the tops are dormant; after this the
starch can be chewed out of the fibers, but it's only worth the time on the largest plants.
Conservation 1/2.
",True, Pteridium aquilinum
0002_b.txt,"4
Florida coontie
Zamia floridana Zamiaceae (Cycad family)
","FOOD USE: The enormous underground storage organ was once processed on a large scale to extract bland.
edible starch, through a detailed process of shredding or pounding, straining, rinsing, fermenting, and drying
I have not eaten this part. Anyone wanting to do this today needs to make sure to obtain the coontie legally
",True, Zamia floridana
0003_a.txt,"FERN-LIKE PLANTS, PALMS, AND HORSETAILS
5
Cinnamon fern
Osmunda cinnamomea family Osmundaceae
fern of acidic swamps with fronds in a rosette; ID rachis difficulty not grooved, 2.
","FOOD USE: Some people gather the fiddleheads in spring and eat them cooked, but they are quite astringent,
and I recommend against it. A small handful in a large stew won't completely ruin the flavor. Some people
who eat these collect them by perpetual mistake, but others think wild foods are supposed to taste bad and
knowingly insist that cinnamon ferns are the ""right"" fiddleheads. I include the plant here mostly for their
emotional benefit, yet uncertain that this benefit justifies the space. The curved heart of the crown in very
early spring, before the fiddleheads emerge, sometimes called the ""fern banana,"" tastes slightly better than
the fiddleheads, but one must kill the crown to get it. I recommend against eating the fiddleheads, and only feel
slightly better about the hearts. Conservation 3.
",True, Osmunda cinnamomea
0003_b.txt,"6
Ostrich fern
3 UI FH-78
Matteucia struthiopteris
family Onocleaceae
","FOOD USE: Cut or pick the still-tightly-coiled fiddleheads and the attached tender
shoots in spring, taking 2-4 per clump. These may be up to 26"" (66 cm) tall on large
specimens. You can eat more than the coiled part-please don't waste good food
just because it doesn't look like a snail. Steam or boil for 8-10 minutes. Conserva-
",True, Matteucia struthiopteris
0004_a.txt,"7 Lady fern
Athyrium filix-femina 2 family Athyriaceae
Fronds clumped, shallowly grooved with elongated, ID difficulty dark, 1. hair-like
","FOOD USE: Gather a few tender fiddleheads per
plant when tips are still
curled in spring. Use
as a cooked vegetable.
Conservation 1.
",True, Athyrium filix-femina
0004_b.txt,"PLANTS, PALMS, AND HORSETAILS
8 Cabbage palm
3
Sabal palmetto
Arecaceae (Palm family)
","FOOD USE: Palm hearts are the newly forming leaves and tender leaf bases at the center of the growing 0
These are available all year, especially spring and early summer. A single palm heart is large enough to make
a large soup or stir fry and the flavor is fantastic, but you have to kill the tree and cut away all the leaves to get
it. Fruit is available in October and November and can be collected in large quantity, but there is little pulp
around the large seed, and it doesn't taste very good. Conservation 3/1.
",True," Sabal palmetto
     or
     Sabal palmetto
     (both are correct)"
0005_a.txt,"FERN-LIKE PLANTS, PALMS, AND
9 Saw palmetto
3
1
Serenoa repens Arecaceae (Palm family)
Miniature palm with fan-like leaves and spiny petioles. ID difficulty stout, the 1.
","USE: The small palm hearts can be cut out of the center of the leaf cluster year-round and eaten the raw (with or
FOOD cooked. Try not to saw up your hands when doing this. Some people grab several petioles close to thin tip pulp
twist them together, and then yank on this ""braid"" to pull the heart out. Fruit (autumn) has a
that gloves), can be sucked off the hard seeds, dried and ground, or steeped for tea. These are edible but have a strong
cheesy vomit flavor that most
people don't like. Nevertheless
they have been consumed for
millennia. Conservation 3/1,
The hearts are often
very small.
40
FERN-LIKE PLANTS, PALMS, AND 9 Saw palmetto 3 1 Serenoa repens Arecaceae (Palm family) Miniature palm with fan-like leaves and spiny petioles. ID difficulty stout, the 1. QUICK CHECK: palm often forming extensive colonies. Stems often hidden DESCRIPTION: Ground-level branching, creeping along the ground (although densely clustered surface dark and rough-scaly, chest level and leaning or arching. Leaves tightly packed sword- near by litter), the stem rising tip, sometimes evergreen, to from 2.5-4 one (76-120 point. cm) There across, is no midrib. with 25-30 Divisions conjoined, the pleated midvein accordion-like near the base at like divisions radiating 320° (41-66 cm) long, tough, folded along wide, broadly the base but free and the separate tip, which distally, is often 16-26"" split. Petioles 2-4' (60-120 cm) long, up on to each 1"" (2.5 edge. cm) Inflorescence a triangular, not channeled, cluster smooth up to 3' (1 but m) long that does not surpass the leaves, the with branches light-colored green reflexed but flatter toward for the namesake row of sharp prickles light with branching leafless scales. Flowers (May-July) small and unshowy, 5-6 mm long, black 3 in autumn. petals. contrasting Fruit purplish oblong, 0.5-0.9"" (13-23 mm) long with a single large seed; ripens to HABITAT: Pine flatwoods of the coastal plain, coastal scrublands, dunes, high spots in marshes, sandy oak woods close to the water table. Native. USE: The small palm hearts can be cut out of the center of the leaf cluster year-round and eaten the raw (with or FOOD cooked. Try not to saw up your hands when doing this. Some people grab several petioles close to thin tip pulp twist them together, and then yank on this ""braid"" to pull the heart out. Fruit (autumn) has a that gloves), can be sucked off the hard seeds, dried and ground, or steeped for tea. These are edible but have a strong cheesy vomit flavor that most people don't like. Nevertheless they have been consumed for millennia. Conservation 3/1, The hearts are often very small. 40 ",True, Serenoa repens
0006_a.txt,"SUCCULENT LEAFLESS STEMS (CACTI AND
SUCCULENT LEAFLESS STEMS (CACTI AND GLASSWORT)
GROUP glassworts are not related but share the feature of edible of cactis having thick. much higher fleshy key stems west
andine Cacti and leaves (0' vestigia: leaves only) The diversity only a few species. I have left out the spines
of our region Because this the group depression contains from which a tuft of penetrate hairs. glochids. skin or
grows. The areole Glochids of a cactus are tiny, is stiff. barbed hairs that painfully
Pincushion cactus
2
1
Coryphantha missouriensis
+
Cactaceae
(Cactus
family)
","FOOD USE: The ripe
fruits are a fun snack
with a mild sweet flavor,
available from spring
through early summer It
car be hard to get them
without pricking your
fingers Conservation1.
",True, Coryphantha missouriensis
