source,name,edibles,llm_flag,len_edibles,len_name
0001_a,Equisetum arvense,stems,1.0,1,2
0001_b,Botrychium virginianum,fronds,1.0,1,2
0002_a,Pteridium aquilinum,"fiddleheads,rhizomes",1.0,2,2
0002_b,Zamia floridana,root,1.0,1,2
0003_a,Osmunda cinnamomea,hearts,1.0,1,2
0003_b,Matteucia struthiopteris,"fiddleheads,shoots",1.0,2,2
0004_a,Athyrium filix-femina,fiddleheads,1.0,1,2
0004_b,Sabal palmetto,palm hearts,1.0,1,2
0005_a,Serenoa repens,palm hearts,1.0,1,2
0005_b,Sabal minor,"hearts,berries",0.0,2,2
0006_a,Coryphantha missouriensis,fruits,1.0,1,2
0006_b,Opuntia,"pads, flower petals, fruits, seeds",1.0,4,1
0007_a,Cylindropuntia imbricata,"fruits,young shoots",1.0,2,2
0007_b,Salicornia glasswort,greens,1.0,1,2
0008_b,Morus alba,"berries,young leaves",1.0,2,2
0009_a,Morus rubra,"berries,shoots,leaves",1.0,3,2
0009_b,Rubus odoratus,"berries,shoots",1.0,2,2
0010_a,Rubus idaeus,"berries,shoots,leaves (tea)",1.0,3,2
0010_b,Rubus phoenicolasius,berries,1.0,1,2
0011_a,Rubus occidentalis,"shoots,berries",1.0,2,2
0011_b,Rubus,"berries,shoots",1.0,2,1
0012_a,Rubus (dewberry),berries,1.0,1,2
0012_b,Rubus chamaemorus,berries,1.0,1,2
0013_a,Rubus pubescens,berries,1.0,1,2
0013_b,Rubus arcticus,berries,1.0,1,2
0014_a,Pinus,"inner bark,cambium,needles (tea),pollen",1.0,4,1
0015_a,Picea,"bark,shoots",1.0,2,1
0015_b,Abies balsamea,"cambium,immature seed",1.0,2,2
0016_a,Tsuga canadensis,"needles (tea),inner bark",1.0,2,2
0016_b,Batis maritima,"leaves,branch tips",1.0,2,2
0017_a,Empetrum nigrum,berries,1.0,1,2
0017_b,Juniperus communis,"berries,branch tips,needles (tea)",1.0,3,2
0017_b,Juniperus virginiana,"berries,branch tips,needles (tea)",1.0,3,2
0018_a,Taxus canadensis,berries,0.0,1,2
0019_a,Juglans nigra,"nuts,immature fruits (pickled),sap (syrup)",1.0,3,2
0019_b,Juglans cinerea,"nuts,immature nuts (pickle),sap (syrup)",1.0,3,2
0020_a,Carya,nuts,1.0,1,1
0021_b,Carya laciniosa,nuts,0.0,1,2
0022_b,Carya glabra,nuts,0.0,1,2
0023_a,Fagus grandifolia,"nuts, young leaves",1.0,2,2
0023_b,Castanea dentata,nuts,1.0,1,2
0024_a,Castanea pumila,nuts,1.0,1,2
0024_b,Corylus,nuts,1.0,1,1
0024_b,Corylus cornuta,nuts,1.0,1,2
