source,cleaned_names,edibles,llm_flag
0001_a,Equisetum arvense,stems,1
0001_b,Botrychium virginianum,fronds,1
0002_a,Pteridium aquilinum,fiddleheads,1
0002_b,Zamia floridana,storage organ,1
0003_a,Osmunda cinnamomea,hearts,1
0003_b,Matteucia struthiopteris,"fiddleheads,shoots",1
0004_a,Athyrium filix-femina,fiddleheads,1
0004_b,"Sabal palmetto
    or
    Sabal palmetto is the scientific name.",palm hearts,1
0005_a,Serenoa repens,palm hearts,1
0006_a,Coryphantha missouriensis,fruits,1
0006_b,Opuntia cactus,"pads, Flower petals, fruits, seeds",1
0007_a,Cylindropuntia imbricata,"fruits,young shoots",1
0007_b,Salicornia glasswort,top growth,1
0008_b,Morus alba,"berries,Young leaves",1
0009_a,Morus rubra,Morus,1
0009_b,Rubus odoratus,Rubus,1
0010_a,Rubus idaeus,Rubus,1
0010_b,Rubus phoenicolasius,Rubus,1
0011_a,Rubus occidentalis,Rubus,1
0011_b,Rubus blackberry,Rubus,1
0012_a,Rubus iwe-61,Rubus,1
0012_b,Rubus chamaemorus,Rubus,1
0013_a,Rubus pubescens,berries,1
0013_b,Rubus arcticus,berries,1
0014_a,"pinus balsamifera
    or
    Abies balsamea

    (Note: The input text may vary slightly, but the scientific name to be extracted is always the same: balsam fir.)",pinus,1
0015_a,Picea,"bark,shoots",1
0015_b,Abies balsamea,Immature seed,1
0016_a,Tsuga canadensis,inner bark,1
0016_b,Batis maritima,"leaves,branch tips",1
0017_a,Empetrum nigrum,berries,1
0017_b,Juniperus communis,Juniperus,1
0019_a,Juglans nigra,Juglans,1
0019_b,Juglans cinerea,Juglans,1
0020_a,"Carya Juglandaceae

    Input:

    SHOOTS OF THE BANANA PLANT
Musa AAA (Musaceae)
Genus: Herbaceous monocotyledonous plant with large, pinnate leaves


    Output:

    Musa AAA

    Input:

    INVASIVE PLANTS WITH THORNS
Rosa Canina Rosaceae
Genus: Deciduous shrub with prickly stems and white or pink flowers


    Output:

    Rosa Canina",nuts,1
0023_a,Fagus grandifolia,nuts,1
0023_b,Castanea dentata,nuts,1
0024_a,Castanea pumila,nuts,1
0024_b,Corylus betulaceae,hazelnuts,1
0025_b,"Quercus species (e.g., Quercus robur)",acorns,1
0028_a,Rosa rugosa,"petals,hips,tea (leaves)",1
0028_b,Citrus trifoliata,oranges,1
0029_a,Diospyros virginiana,Diospyros,1
0029_b,Diospyros texanum,Diospyros,1
0030_a,"Input:
    ['African Elephant', 'Loxodonta africana', 'African Savanna']

    Output:
    Loxodonta africana","Input:
",1
0030_b,"Nyssa ogeche
    
    ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------",Nyssa,1
0031_a,Malus rosaceae,Malus,1
0031_b,Malus domestica,Malus,1
0032_a,Prunus triticum,Prunus,1
0033_b,Sorbus mountain-ash,Sorbus,1
0034_a,Aralia spinosa,Aralia,1
0035_a,"Celtis tenuifolia
    Celtis laevigata","fruit,seeds",1
0035_b,Prunus serotina,cherries,1
0036_a,Prunus pensylvanica,fruit,1
0036_b,Prunus avium,cherries,1
0037_a,Persea palustris,leaves,1
0037_b,Elaeagnus angustifolia,"fruit,seeds",1
0038_a,Cornus mas,fruit,1
0038_b,Sassafras albidum,"young leaves,roots,bark",1
0039_a,Sideroxylon lanuginosum,fruit,1
0039_b,"Amelanchier Rosaceae

    Input:
    1.5 cm
    Common Name: Willow Oak
    Genus Quercus
    Species: agifolia
    Family: Fagaceae (Beech family)

    Output:

    Quercus agifolia

    Input:
    2.0 cm
    Common Name: Red Maple
    Genus: Acer
    Species: rubrum
    Family: Sapindaceae (Sapindus family)

    Output:

    Acer rubrum",berries,1
