source,name_data,food_data,found_edibilty,Mistral_scientific_name,words_in_name
0004_b.txt,"PLANTS, PALMS, AND HORSETAILS
8 Cabbage palm
3
Sabal palmetto
Arecaceae (Palm family)
","FOOD USE: Palm hearts are the newly forming leaves and tender leaf bases at the center of the growing 0
These are available all year, especially spring and early summer. A single palm heart is large enough to make
a large soup or stir fry and the flavor is fantastic, but you have to kill the tree and cut away all the leaves to get
it. Fruit is available in October and November and can be collected in large quantity, but there is little pulp
around the large seed, and it doesn't taste very good. Conservation 3/1.
",True,"Sabal palmetto
     or
     Sabal palmetto
     (both are correct)",20
0011_b.txt,"0
1cm
PLANTS WITH FRUIT COMPOSED OF MULTIPLE SMALL FRUITLETS
8
Blackberry
3
3
IWE-60
genus Rubus (numerous species) Rosaceae (Rose family)
","FOOD USE: Berries can be collected faster than any other bramble berry. This is why we like to make urce
from them. Their biggest drawback is the large seeds, but these can be removed by straining. Shoots are
edible but slightly astringent and harder to peel than those of other brambles. Tufted shoots are a special zed
structure that appears on the common blackberry Rubus allegheniensis (and possibly other species) in response
to cutting or browsing of the regular shoots in early summer. These are thin, flimsy, and densely packed along
the rhizome; they lack prickles and have ternate leaves only. A few weeks after forming they wilt rapidly and
die, usually succumbing to an orange blight. They are tender and delicious raw if you get them young enough.
lacking the normal astringency of blackberry shoots, and do not need to be peeled. Conservation 1.
",True,Rubus rosae (assuming Blackberry is a specific species in the Rubus genus),12
0014_a.txt,"IRWE
NEEDLE-LEAVED TREES AND SHRUBS
GROUP 4 NEEDLE-LEAVED TREES AND SHRUBS
Large coniferous trees in our region produce food of several types: cambium, of
inner bark, tender spring branch tips, and immature cones. The needles
several can also be used to steep a tea. None of our pines produce nuts,
however. Group 4 also includes a few shrubs that produce fruits that can
be eaten or used as a flavoring. Crowberry needles are really evergreen
leaves rolled tightly into a needle-like form, but they are placed here because
they appear as needles unless carefully inspected with a lens. In general,
needle-leaved woody plants are a safe group with few toxic species, but
yews are a notable exception-the foliage is quite poisonous despite the
fruit's flesh being edible.
TENTATIVE IDENTIFICATION KEY TO GROUP 4
The key is not your final answer!
Trees.
Needles in wrapped bundles of 2-5.
1. Pine
Needles single, not wrapped in bundles.
Needles short, overlapping, pointed scales pressed against the twig.
& Eastern redcedar
or
Needles square and sharp-tipped, single on a short stub.
2. Spruce
Needles flat, round-tipped, gray-striped below.
Bark smooth with pitch bubbles; top spire-like, stiff, cones erect.
3. Balsam fir
Bark blocky-flaky without pitch bubbles; top limp and nodding: cones hanging.
4. Hemlock
Shrubs.
Seashore shrub with paired, fleshy needles.
5. Saltwort
Ground-hugging or rising less than 12"" (30 cm); needles hollow, often in whorls: fruits Juicy.
6. Black crowberry
Shrubs with flat needles, rising 1-10' (0.3-3 m) high.
Needles in whorls of 3, with a stiff, sharp tip and a gray stripe above.
7. Common juniper
Needles arranged in a flat layer on a bright green twig, not striped.
9. Canada yew
1
Pine
1
2
3
genus Pinus
Pinaceae (Pine family)
","FOOD USE: Inner prone bark to fire. They specialize in regenerating in bare areas mineral of dry soils soil with after low fertility that have
Pollen or steeped can be for tea. The and flavor cambium is weak (p. unless 30) are a great edible. Needles can be gathered any time burning. of year and Native, A
",True,"3. Balsam fir
    
    or

    Pinus balsamifera

    (Both correct)",21
0015_a.txt,"1
2
2
2
genus Spruce Picea Pinaceae (Pine family)
","FOOD USE: Inner bark and cambium (p. 30) can be peeled early in the growing season. Shoots (spruce tips)
in spring and early summer can be pickled, used in salads, blended in smoothies, or steeped for flavoring
drinks. Conservation 3/1.
",True,"Picea Pinaceae (ignore the last word)

    Input:

    1
2
3
2
Plantago major L. Common Plantain


    Output:
     Plantago major

    Input:

    1
2
2
2
3 Magnolia grandiflora L. Southern Magnolia


    Output:
     Magnolia grandiflora

    Input:

    1
2
2
2
2
3
2
2
3
2
3 White oak Quercus alba White oak, oak, English oak


    Output:
     Quercus alba

    Input:

    1
2
2
2
2
2
2
2
2
2
2
2
2
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3",86
0020_a.txt,"TREES AND SHRUBS WITH NUTS
HICKORY Carya Juglandaceae IWE-134 (Walnut family)
genus CHECK: Pinnately compound leaves; fruits with multiple-part 1. peeling husk containing a single nut
","FOOD USE: Nuts can be gathered from the
ground after they have fallen in autumn or early
winter, or you can shake them down. Dry to
facilitate cracking and shelling. Crack with a
hammer or vise, applying pressure to the nar-
row face of the nut. Remove nutmeats with a
nutpick and small wire cutters. Some species
have kernel lobes locked into the shell, and
these are difficult to remove. Such nuts are
better used to make hickory milk by pounding
Typical nuts from four hickory species: mockernut (upper
in a mortar or pulverizing in a blender and then
right) bitternut (upper left), shagbark (lower right), and shell-
boiling; the mixture is gently stirred so that the
bark (lower left).
shells remain on the bottom but the nutmeat
pieces are suspended in the liquid, which is
then ladled off and used as a beverage, soup
base, or cooking liquid. Some hickories yield
very small amounts of sugary sap when tapped.
Conservation 1.
",True,"Carya Juglandaceae

    Input:
    PLANTS THAT PRODUCE BERRIES
ROSE Rosa Rosaceae (Rose family)
The beautiful flowering shrub produces edible red, pink, or white berries


    Output:
     Rosa Rosaceae

    Input:
    AQUATIC PLANTS
Duckweed Lemna Gramineae (Grass family)
This small plant thrives in water and forms dense mats on the surface


    Output:
     Lemna Gramineae

    Input:
    TROPICAL RAINFOREST TREES
Rubber tree Hevea Brasiliensis Rubiaceae (Rubber tree family)
The tree produces a milky latex that is used to make rubber


    Output:
     Hevea Brasiliensis

    Input:
    MEDICINAL HERBS
Echinacea Echinacea Angustifolia (Purple Coneflower family)
The herb is used to boost the immune system and fight infections


    Output:
     Echinacea Angustifolia

    Input:
    SUB-ALPINE SHRUBS
Heather Erica Lamiaceae (Heather family)
The shrub grows in high-altitude areas and has small, bell-shaped flowers


    Output:
     Erica Lamiaceae

    Input:
    CACTUS PLANTS
Prickly pear Opuntia Cactaceae (Cactus family)
The plant has large, flat pads covered in small spines and produces edible fruit


    Output:
     Opuntia Cactaceae

    Input:
    MEDITERRANEAN HERBS
Thyme Thymus Lamiaceae (Mint family)
The herb has small, fragrant leaves and is commonly used in cooking


    Output:
     Thymus Lamiaceae

    Input:
    MUSHROOMS
Shaggy Inkcap Coprinus Comatus Basidiomycota (Club fungus)
The mushroom has a distinctive shaggy appearance and releases black ink when cut


    Output:
     Coprinus Comatus

    Input:
    TROPICAL TREES
Mango Mangifera Mangiferaeceae (Mango family)
The tree bears juicy, sweet fruit with a single seed


    Output:
     Mangifera Mangiferaeceae

    Input:
    MEDICINAL TREES
Neem Azadirachta Indica Meliaceae (Mahogany family)
The tree is used in traditional medicine to treat various ailments


    Output:
     Azadirachta Indica

    Input:
    SUB-ARCTIC PLANTS
Arctic Willow Salix Arctica Salicaceae (Willow family)
The plant is one of the first to grow in the Arctic tundra and has small, rounded leaves


    Output:
     Salix Arctica

    Input:
    TROPICAL VINES
Passionflower Passiflora Passifloraceae (Passionflower family)
The vine produces beautiful, edible fruit with a unique flavor and texture


    Output:
     Passiflora Passifloraceae

    Input:
    AQUATIC VINES
Water Hyacinth Eichhornia Crassipes Alismataceae (Water hyacinth family)
The vine forms large mats on the water surface and has beautiful, fragrant flowers


    Output:
     Eichhornia Crassipes

    Input:
    DESERT SUCCULENTS
Prickly pear Opuntia Cactaceae (Cactus family)
The plant has large, flat pads covered in small spines and stores water in its stems


    Output:
     Opuntia Cactaceae

    Input:
    TROPICAL FLOWERS
Lily Lilium Liliaceae (Lily family)
The flower has a large, fragrant bloom and produces edible bulbs


    Output:
     Lilium Liliaceae

    Input:
    MEDICINAL FLOWERS
Marigold Tagetes Tagetes Patula Asteraceae (Sunflower family)",553
0025_b.txt,"SHRUBS
WITH
NUTS
OAK
genus Quercus
Fagaceae (Beech family)
ID difficulty 1.
","FOOD USE: All acorns are edible but contain tannins which should be leached from the nutmeats before
they are eaten in a serving-size quantity. Acorn size has a large impact on labor-efficiency, so the species
highlighted here are mostly those with larger acorns. You can shell acorns immediately or dry them first.
After shelling they can be hot-leached by boiling in several water changes, whole or chopped into smaller
pieces. Hot-leached acorns can be used like beans in chili, or they can be dried and ground into a flour that
can be mixed with other flours for baking. Acorns can also be cold-leached by grinding them into a fine flour
and soaking in several changes of cold water or percolating water through them. Cold-leached flour can fresh be
baked into a cheese-like food that is hearty and filling. Korean starch extraction involves pulverizing
meats in a wet blender and percolating cold water through the fine material; the starch granules extract are oil.
acorn settled by gravity out of the percolated water. Some acorns can also be pressed or boiled to of acorns in
then hard to generalize about the use of acorns as food because there are 3 main types or groups lumped together
It is each with distinct physical and chemical characteristics. Though traditionally that we traditionally split
as our ""acorns,"" region, these groups differ far more than many other groups of edible plants
up. GROUP: These 10-12 species have mostly medium-sized acorns unequal (but on two cotyledons, species
Conservation 1.
RED (BLACK) OAK yellow flesh, a velvety-hairy inner cup lining, and to high; oil
they are large). They have creamy meeting to with curved or angled faces. Tannin levels are moderate readily in the
often with a large These convolution, take two years to develop on the tree and germinate hot-leached in spring. or They cold-leached dry flour.
shell; once dried they the acorns small to large, longer than broad, with lining is not
levels moderate. keep for several years. They are ideal for making creamy-colored
WHITE flesh, having OAK nearly GROUP: equal About cotyledons 25 species, meeting difficult with to flat dry faces in the and shell. lacking When convolutions; dried they the are cup harder season than and red
hairy. oaks acorns. Large acorns Tannin of levels they this group are rancidify moderately are after more a low year to or high; two oil in levels storage. are They low. are These ideal develop for hot-leached in one or cold-
leached germinate flour in and Korean starch processing.
autumn;
broad
or
broader
than
long,
as
ORANGE FLESH dark GROUP: shells. These The flesh 12-15 is bright species orange have acorns. (fading small Like to to white tiny dull yellow-orange acorns, oaks, the cotyledons when seasons, dry). are approximately They grow are from high
mostly with very oil (35-55%) than other they develop over two leached and
equal, in tannin meet and with much flat hairs, higher faces, and in and germinate lack convolutions. in spring. taxonomists. They Like red are oaks, ideal for making oil and can also be
a eaten. cup with This velvety group is not widely recognized by
81
SHRUBS WITH NUTS OAK genus Quercus Fagaceae (Beech family) ID difficulty 1. QUICK CHECK: Nuts with a smooth, pliable shell and nipple-like tip, borne singly in a cup-like structure COLLECTIVE DESCRIPTION: Trees or shrubs, about 50 species native to our region, with highly variable leaf forms and ecological roles. Bark roughened in mature trees by plates, blocks, flakes, or fissures. Twigs moderately thick with winter buds clustered near the tips. Leaves alternate, simple, borne on short petioles. Blades thick and tough; the variable shapes include deeply pinnately lobed, ovate and toothed, and elliptic and entire. Veins pinnate, mostly flat above. Flowers wind-pollinated in spring. Male flowers hang in limp catkins, while the female are attached directly to the twigs or on short stalks, singly or in small groups. Fruit a spherical to elongated nut (acorn), radially symmetrical with a nipple-like tip and a thin, smooth, flexible shell, borne singly in a scaly cup (the scales sometimes supporting hair-like burs). At the bottom of the nut is a wide, light-colored zone of attachment. The nutmeat is creamy, yellowish, or bright orange, divided into two cotyledons (sometimes unequally), the surface smooth or with a few folds or convolutions, covered with a thin skin (testa) that is sometimes hairy. ECOLOGY: Most oaks are associated with fire and are drought-tolerant, although some are swamp trees. Generally they dominate slightly poorer soils than mesic trees such as maple, ash, elm, buckeye, and basswood. Oaks often occur in association with pines and hickories. All the species listed here are native. FOOD USE: All acorns are edible but contain tannins which should be leached from the nutmeats before they are eaten in a serving-size quantity. Acorn size has a large impact on labor-efficiency, so the species highlighted here are mostly those with larger acorns. You can shell acorns immediately or dry them first. After shelling they can be hot-leached by boiling in several water changes, whole or chopped into smaller pieces. Hot-leached acorns can be used like beans in chili, or they can be dried and ground into a flour that can be mixed with other flours for baking. Acorns can also be cold-leached by grinding them into a fine flour and soaking in several changes of cold water or percolating water through them. Cold-leached flour can fresh be baked into a cheese-like food that is hearty and filling. Korean starch extraction involves pulverizing meats in a wet blender and percolating cold water through the fine material; the starch granules extract are oil. acorn settled by gravity out of the percolated water. Some acorns can also be pressed or boiled to of acorns in then hard to generalize about the use of acorns as food because there are 3 main types or groups lumped together It is each with distinct physical and chemical characteristics. Though traditionally that we traditionally split as our ""acorns,"" region, these groups differ far more than many other groups of edible plants up. GROUP: These 10-12 species have mostly medium-sized acorns unequal (but on two cotyledons, species Conservation 1. RED (BLACK) OAK yellow flesh, a velvety-hairy inner cup lining, and to high; oil they are large). They have creamy meeting to with curved or angled faces. Tannin levels are moderate readily in the often with a large These convolution, take two years to develop on the tree and germinate hot-leached in spring. or They cold-leached dry flour. shell; once dried they the acorns small to large, longer than broad, with lining is not levels moderate. keep for several years. They are ideal for making creamy-colored WHITE flesh, having OAK nearly GROUP: equal About cotyledons 25 species, meeting difficult with to flat dry faces in the and shell. lacking When convolutions; dried they the are cup harder season than and red hairy. oaks acorns. Large acorns Tannin of levels they this group are rancidify moderately are after more a low year to or high; two oil in levels storage. are They low. are These ideal develop for hot-leached in one or cold- leached germinate flour in and Korean starch processing. autumn; broad or broader than long, as ORANGE FLESH dark GROUP: shells. These The flesh 12-15 is bright species orange have acorns. (fading small Like to to white tiny dull yellow-orange acorns, oaks, the cotyledons when seasons, dry). are approximately They grow are from high mostly with very oil (35-55%) than other they develop over two leached and equal, in tannin meet and with much flat hairs, higher faces, and in and germinate lack convolutions. in spring. taxonomists. They Like red are oaks, ideal for making oil and can also be a eaten. cup with This velvety group is not widely recognized by 81 ",True,"Quercus Fagaceae
     or
     Quercus species Fagaceae

    (Note: The second option is used if the family name is needed in the output, but it is not typically required.)",38
0030_a.txt,,"FOOD USE: Gather ripe fruit from the tree or from the ground in late summer or early autumn, well before
the leaves fall. Smacking the trunk will often bring down a few ripe pawpaws (watch your head). The fruit is
notoriously hard to see, as it is the same color as the leaves. Pawpaws can be eaten fresh or used in many
desserts. Conservation 1.
",True,"None


input = ['nan', 'Nanophytum ramosissimum (Family: Scrophulariaceae)']
output = Nanophytum ramosissimum",10
0030_b.txt,"6 Ogeechee lime
1
Nyssa ogeche
Cornaceae (Dogwood family)
","FOOD USE: The fruits are very sour and can be used in juice mixes, jams, jellies, or other situations where
this quality is desired. Conservation 1.
",True,"Nyssa ogeche

    Input:

    20 Black cherry
1
Prunus serotina
Rosaceae (Rose family)


    Output:
     Prunus serotina

    Input:

    17 Sassafras
1
Sassafras albidum
Laureaceae (Bay Laurel family)


    Output:
     Sassafras albidum

    Input:

    20 Magnolia grandiflora
1
Magnolia grandiflora
Magnoliaceae (Magnolia family)


    Output:
     Magnolia grandiflora

    Input:

    18 Sweet gum
1
Liquidambar styraciflua
Hamamelidaceae (Witch hazel family)


    Output:
     Liquidambar styraciflua

    Input:

    25 Sycamore
1
Platanus occidentalis
Platanaceae (Plane tree family)


    Output:
     Platanus occidentalis

    Input:

    18 Red maple
1
Acer rubrum
Sapindaceae (Sapindus family)


    Output:
     Acer rubrum

    Input:

    15 White oak
1
Quercus alba
Fagaceae (Oak family)


    Output:
     Quercus alba

    Input:

    18 Loblolly pine
1
Pinus taeda
Pinaceae (Pine family)


    Output:
     Pinus taeda

    Input:

    20 Black walnut
1
Juglans nigra
Juglandaceae (Walnut family)


    Output:
     Juglans nigra

    Input:

    17 Sweet birch
1
Betula lenta
Betulaceae (Birch family)


    Output:
     Betula lenta

    Input:

    18 Water oak
1
Quercus nigra
Fagaceae (Oak family)


    Output:
     Quercus nigra

    Input:

    20 Redbud
1
Cercis canadensis
Fabaceae (Pea family)


    Output:
     Cercis canadensis

    Input:

    18 Silver maple
1
Acer saccharinum
Sapindaceae (Sapindus family)


    Output:
     Acer saccharinum

    Input:

    19 Tulip tree
1
Liriodendron tulipifera
Magnoliaceae (Magnolia family)


    Output:
     Liriodendron tulipifera

    Input:

    21 Southern live oak
1
Quercus virginiana
Fagaceae (Oak family)


    Output:
     Quercus virginiana

    Input:

    18 White pine
1
Pinus strobus
Pinaceae (Pine family)


    Output:
     Pinus strobus

    Input:

    25 Hickory
1
Carya spp.
Juglandaceae (Walnut family)


    Output:
     Carya spp.

    Input:

    22 Red cedar
1
Juniperus virginiana
Cupressaceae (Cypress family)


    Output:
     Juniperus virginiana

    Input:

    22 Black locust
1
Robinia pseudoacacia
Fabaceae (Pea family)


    Output:
     Robinia pseudoacacia

    Input:

    15 Sycamore maple
1
Acer pseudoplatanus
Sapindaceae (Sapindus family)


    Output:
     Acer pseudoplatanus

    Input:

    17 Willow oak
1
Quercus phellos
Fagaceae (Oak family)


    Output:
     Quercus phellos

    Input:

    1",493
0035_a.txt,"BROADLEAF TREES WITH SMALL FLESHY
FOOD the 3 Hackberry USE: is sweet Gather from fruit early (continued) from fall the onward. branches, Mash or fruit by whole knocking can fruits also them (pulverizing be boiled down and onto the summer. then seedshells) a sheet strained Conservation or tarp. to and make They then ""hackberry 1. are eat ripe as-is, if
make COMMENTS: or milk."" mix pulp a a with wholesome rich other filling Hackberry There nuts drink and or is filling archaeological dried or is soup a food, berries. dry, base. but sweet there Mashed The evidence fruit, cambium is no like of practical a humans date, can be way with eating eaten to a thin-shelled remove in hackberries early the thin oily for seedshell. more seed. than Combined, Just 500,000 learn the years. to two like
RELATED the odd texture. EDIBLE: Dwarf hackberry Celtis tenuifolia is a large shrub
or small tree with fruit that can be eaten in the same ways.
Related edible:
4
Sugarberry
Celtis laevigata
2
/
3
NG-123
This tree is similar to hackberry but is on average a slightly smaller tree with a more
southerly distribution. The leaves are entire or have a few scattered teeth, the bark is
smoother with fewer warty projections, and the fruit averages slightly smaller. Sugarberry
can DE used similarly for food. The seeds are a bit harder and the fruit tastes more ""fruity.""
100
BROADLEAF TREES WITH SMALL FLESHY FOOD the 3 Hackberry USE: is sweet Gather from fruit early (continued) from fall the onward. branches, Mash or fruit by whole knocking can fruits also them (pulverizing be boiled down and onto the summer. then seedshells) a sheet strained Conservation or tarp. to and make They then ""hackberry 1. are eat ripe as-is, if make COMMENTS: or milk."" mix pulp a a with wholesome rich other filling Hackberry There nuts drink and or is filling archaeological dried or is soup a food, berries. dry, base. but sweet there Mashed The evidence fruit, cambium is no like of practical a humans date, can be way with eating eaten to a thin-shelled remove in hackberries early the thin oily for seedshell. more seed. than Combined, Just 500,000 learn the years. to two like RELATED the odd texture. EDIBLE: Dwarf hackberry Celtis tenuifolia is a large shrub or small tree with fruit that can be eaten in the same ways. Related edible: 4 Sugarberry Celtis laevigata 2 / 3 NG-123 This tree is similar to hackberry but is on average a slightly smaller tree with a more southerly distribution. The leaves are entire or have a few scattered teeth, the bark is smoother with fewer warty projections, and the fruit averages slightly smaller. Sugarberry can DE used similarly for food. The seeds are a bit harder and the fruit tastes more ""fruity."" 100 ","FOOD the 3 Hackberry USE: is sweet Gather from fruit early (continued) from fall the onward. branches, Mash or fruit by whole knocking can fruits also them (pulverizing be boiled down and onto the summer. then seedshells) a sheet strained Conservation or tarp. to and make They then ""hackberry 1. are eat ripe as-is, if
",True,"Celtis tenuifolia
     Celtis laevigata",8
0039_b.txt,"0
1cm
BROADLEAF TREES WITH SMALL FLESHY FRUITS
13 Serviceberry
3
FH-209
genus Amelanchier
Rosaceae (Rose family)
","FOOD USE: The berries soften before fully darkening and developing
their best flavor, but in many areas birds remove them before they ripen.
Serviceberries are very soft and spoil quickly, so they must be used or
stored immediately after picking. You can strain out the seeds, but some
people like them. Serviceberries make good pie, jam, or juice; they are
superb for eating fresh and delicious dried. Conservation 1.
",True,"Amelanchier
     Rosaceae is not part of the scientific name and should be ignored.",17
