nubKey,Genus,Species Name
3087601,Lactuca,Lactuca crambifolia
3087603,Lactuca,Lactuca mulgedioides
3087607,Lactuca,Lactuca garrettii
3087623,Lactuca,Lactuca putii
3087624,Lactuca,Lactuca soongarica
3089101,Lactuca,Lactuca mansuensis
3089102,Lactuca,Lactuca indica
3089103,Lactuca,Lactuca indica
3089104,Lactuca,Lactuca indica
3089106,Lactuca,Lactuca fenzlii
3089107,Lactuca,Lactuca indica
3089108,Lactuca,Lactuca indica
3089110,Lactuca,Lactuca indica
3089112,Lactuca,Lactuca triangulata
3089113,Lactuca,Lactuca raddeana
3089114,Lactuca,Lactuca raddeana
3089115,Lactuca,Lactuca raddeana
3089116,Lactuca,Lactuca raddeana
3089117,Lactuca,Lactuca raddeana
3089118,Lactuca,Lactuca raddeana
3089119,Lactuca,Lactuca raddeana
3089120,Lactuca,Lactuca formosana
3089121,Lactuca,Lactuca formosana
3089122,Lactuca,Lactuca formosana
3089123,Lactuca,Lactuca formosana
3089124,Lactuca,Lactuca formosana
3089125,Lactuca,Lactuca indica
3089126,Lactuca,Lactuca indica
3089127,Lactuca,Lactuca indica
3089129,Lactuca,Lactuca sativa
3090732,Lactuca,Lactuca hispida
3090738,Lactuca,Lactuca macrophylla
3095764,Lactuca,Lactuca microsperma
3105766,Lactuca,Lactuca winkleri
3105809,Lactuca,Lactuca biennis
3105810,Lactuca,Lactuca biennis
3105816,Lactuca,Lactuca macrophylla
3112318,Lactuca,Lactuca pulchella
3112319,Lactuca,Lactuca pulchella
3112320,Lactuca,Lactuca pulchella
3112323,Lactuca,Mulgedium cacaliaefolius
3112327,Lactuca,Lactuca canadensis
3112332,Lactuca,Lactuca bracteata
3115558,Lactuca,Lactuca repens
3120409,Lactuca,Lactuca pumila
3120410,Lactuca,Lactuca pumila
3140232,Lactuca,Lactuca deltoidea
3140233,Lactuca,Lactuca deltoidea
3140234,Lactuca,Lactuca deltoidea
3140235,Lactuca,Lactuca deltoidea
3140236,Lactuca,Lactuca dolichophylla
3140237,Lactuca,Lactuca dolichophylla
3140238,Lactuca,Lactuca dolichophylla
3140239,Lactuca,Lactuca dolichophylla
3140240,Lactuca,Lactuca dolichophylla
3140241,Lactuca,Lactuca spinidens
3140242,Lactuca,Lactuca rostrata
3140245,Lactuca,Lactuca rostrata
3140247,Lactuca,Lactuca bourgaei
3140248,Lactuca,Lactuca bourgaei
3140249,Lactuca,Lactuca bourgaei
3140251,Lactuca,Lactuca crambifolia
3140252,Lactuca,Lactuca czerepanovii
3140253,Lactuca,Lactuca crambifolia
3140254,Lactuca,Lactuca czerepanovii
3140260,Lactuca,Lactuca plumieri
3140262,Lactuca,Lactuca plumieri
3140263,Lactuca,Lactuca plumieri
3140264,Lactuca,Lactuca plumieri
3140265,Lactuca,Lactuca plumieri
3140266,Lactuca,Lactuca plumieri
3140267,Lactuca,Lactuca setosa
3140268,Lactuca,Lactuca variabilis
3140269,Lactuca,Lactuca variabilis
3140271,Lactuca,Lactuca tatarica
3140274,Lactuca,Lactuca tatarica
3140275,Lactuca,Lactuca tatarica
3140276,Lactuca,Lactuca boissieri
3140277,Lactuca,Lactuca perennis
3140278,Lactuca,Lactuca boissieri
3140279,Lactuca,Lactuca boissieri
3140280,Lactuca,Lactuca bracteata
3140281,Lactuca,Lactuca dregeana
3140282,Lactuca,Lactuca glandulifera
3140283,Lactuca,Lactuca glandulifera
3140284,Lactuca,Lactuca glandulifera
3140285,Lactuca,Lactuca pulchella
3140286,Lactuca,Lactuca canadensis
