Common Name,Scientific Name,Edible,When and Where
American hazelnut,Corylus americana,['nuts'],"American hazelnut grows in the understory of young, open forests, along fences, at the edge of woods, and in old fields. The husk will still be green when the nuts are ripe. Ripe hazelnuts should be light brown. If you wait until the husks are brown, the nuts will all be gone. Gather hazelnuts in late August and early September."
American lotus,Nelumbo lutea,"['young leaves', 'tubers', 'seeds']","The young lotus leaves should be gathered between April and June when the sides of the leaf are still rolled up. Tubers growing in shallow water ripen in mid-August, while those that grow in deeper water ripen in September or sometimes early October. The seeds ripen from September to October, depending on water depth and weather."
American persimmon,Diospyros virginiana,['fruit'],"American persimmon grows in many different areas: the understory of forests, in full sun, and along roads. Start looking for ripe persimmons in late August. It is a myth that persimmons do not ripen until after frost, but it is true that they do become sweeter from frost. The fruit ripens as the days get shorter. The best fruit can be found in October through November. These persimmons are ripe and ready to eat. The bark of the persimmon tree looks similar to dogwood bark."
Angelica,Angelica,"['young leaves', 'young stem', 'green seeds']","Look for purplestem angelica in swamps and along streambeds or for mountain angelica in the high mountains in woods or in open, rocky areas. Gather the young stem from April to May before the plant starts to bloom, and harvest the leaves at the same time. Gather the seeds while they are still green from June to September."
Apple,Malus,['fruit'],"Typically, apples start to ripen in the Southeast in August and the season goes to October."
Asiatic dayflower,Commelina communis,"['flower', 'leaves', 'stem', 'seeds']","Asiatic dayflower likes damp or disturbed soil and partial shade. It is common in gardens, parks, sidewalks, and shady yards. It is in season throughout the summer and into the early fall."
Asparagus,Asparagus officinalis,['shoots'],"In early spring, asparagus pops up from its perennial roots looking pretty much like its cultivated version. It likes to grow in full to partial sun, in moist soil often at the edges of roads, along fences, at the edge of woods, and in drainage ditches. If asparagus is growing in a garden, chances are there is more nearby that has escaped. The spears of wild asparagus are perfect for harvest in the spring. This wild asparagus has gone to seed. I often come across asparagus when it has gone to seed, because it is easier to notice this way. So I make a note of it and come back the following year, earlier in the spring, to harvest the young spears. Wild asparagus also usually grows one spear, instead of a crown like the cultivated version."
Autumn olive,Elaeagnus umbellata,['berries'],"Autumn olive is a native of Asia, and was introduced into the United States in 1830 for soil improvement, erosion control, landscaping, and wildlife food. Like many imported exotic plants, it soon became invasive. In some parts of the country, it is considered noxious because of its invasiveness. It is one of the few nonlegume plants that fixes nitrogen in the soil. So, look for it in fields where the soil is poor, on eroded hillsides, and around landscaped buildings. The best time to gather the berries is in September, and you can still find lots of ripe fruit into mid-October."
Basswood,Tilia americana,"['young leaves', 'unopened flower buds', 'flowers', 'fruit']","Basswood grows in moist, fertile, well-drained forests. Gather young leaves in early April, harvest the small flowers in mid- to late spring, and collect the pealike seeds in early October."
Beach plum,Prunus maritima,['fruit'],Look for beach plum near the seashore. Collect the fruit in late summer when they turn purple.
Beech,Fagus grandifolia,"['young leaves', 'nuts']",Beech trees commonly grow on slopes in hardwood forests. Nuts ripen in September and October.
Blackberry,Rubus argutus,['fruit'],"Blackberries grow in open fields, clearings, and thickets. The fruit ripens from late June to mid-July in the Southeast. Always taste blackberries before you pick them, because not all have wonderful flavor. In my experience, blackberries in huge thickets that have been growing for many years are the best."
Black birch,Betula lenta,"['inner bark', 'twigs', 'sap']","Black birch grows in deep, fertile, well-drained soil but is also found growing in drier, rocky soil. The inner bark can be gathered at any time of the year. The twigs can be gathered during the spring and summer. The sap is collected from the trunk of the tree in late winter."
Black cherry,Prunus serotina,['fruit'],"Black cherry grows in open fields, old pastures, open woods—just about anywhere. The best time to gather the fruit is mid-June when the cherries are dark purple, almost black. The black cherry tree has smooth, shiny bark with horizontal stripes. Whether they are growing in the wild or cultivated, all cherry blossoms look the same."
Black locust,Robinia pseudoacacia,"['flowers', 'green seeds']","Black locust grows along roadsides, in old fields, in urban areas planted as an ornamental, and in the mountains of the Southeast. The flowers start to bloom in April and usually only last for about a week, so cut them when you see them. Start looking for the green seedpods in June. The seeds inside are edible while still green. Once they start to turn brown, they are too tough to eat."
Black mustard,Brassica nigra,"['flower buds', 'flowers', 'leaves', 'root', 'seedpods', 'seeds', 'stalk']","Black mustard loves gardens, fields, and disturbed soil. It starts appearing in September and grows until late May. You can gather black mustard at any time. Once established, it self-seeds prolifically. These unopened flower buds and leaves of black mustard are at the perfect stage for gathering."
Black nightshade,Solanum nigrum,"['leaves', 'berries']","Black nightshade grows as a weed in disturbed soils in partial shade. The greens are in season from late spring until they flower in early summer. Once the plants flower, the greens become bitter and may contain harmful amounts of solanine, a toxic compound that is common in the nightshade family. Berries begin to ripen in August, and the plants continue to produce fruit into the fall."
Black walnut,Juglans nigra,['nuts'],"Black walnut trees grow in hardwood forests in moist, well-drained soil. You can often find them around old homesteads. Gather the fruits in October when they fall to the ground. A black walnut has fallen to the ground with the husk still attached. The black walnut tree has lance-shaped leaves. The bark of a black walnut tree is more deeply furrowed than the bark of a hickory or an oak."
Blueberry,Vaccinium,['fruit'],"Blueberries grow in acidic soil in forests, mountains, and open fields. They are commonly found on hills and ridges. The plants usually fruit in mid- to late spring and ripen in June."
Burdock,Arctium minus,"['roots', 'flower stalk']","Burdock loves roadsides, vacant lots, fields, and basically any place where the soil has been disturbed. Collect burdock root only from rosettes that do not have stalks. Usually the best time to dig up the roots is late summer through the fall into spring. The first-year roots are the best; in the second year, they can be used, but they will be a little tougher. The stalks start to appear in late spring and early summer. They can be collected at any time up until the plant starts to flower. When burdock starts to flower, the stalks are too bitter to eat."
Butternut,Juglans cinerea,['nuts'],"Butternut grows in fertile, moist, well-drained soils in old fields, mixed hardwood forests, and along fencerows. Gather butternuts in late August and into early September. Butternuts, hanging from a branch. The butternut tree has gray, grooved bark."
Cat’s ear dandelion,Hypochaeris radicata,"['leaves', 'stem', 'flowers']","Cat’s ear dandelion grows in lawns, fields, pastures, and waste spaces. The best time to harvest the flowers, stems, and young leaves is in early spring. The rosette of cat’s ear dandelion sinks into the ground to avoid harm."
Cattail,Typha latifolia,"['shoots', 'male flowers', 'pollen']","Cattails grow in sunny, wet, open areas, swamps, ditches, and at the edge of ponds. Gather the shoots in early May and the flowers and pollen in June to July. The cattail plant has a distinctive oblong seed head."
Chickweed,Stellaria media,"['flowers', 'leaves', 'stems']","Chickweed grows where the soil is fertile. You can find it in gardens, lawns, compost piles, and along sidewalks. It starts coming up in November, and by December, it is the perfect size for harvesting. It will grow until late spring, when it starts to bloom. Once it blooms and goes to seed, it becomes stringy and unpleasant to eat."
