searchedName,canonicalName,scientificName,rank,usageKey,match_confidence,matchType
equisetum arvense,Equisetum arvense,Equisetum arvense L.,SPECIES,7924597,100,EXACT
botrychium virginianum,Botrychium virginianum,"Botrychium virginianum Hook.f., 1850",SPECIES,7917024,99,EXACT
pteridium aquilinum,Pteridium aquilinum,Pteridium aquilinum (L.) Kuhn,SPECIES,5275012,100,EXACT
zamia floridana,Zamia floridana,Zamia floridana A.DC.,SPECIES,5284056,100,EXACT
osmunda cinnamomea,Osmunda cinnamomea,Osmunda cinnamomea L.,SPECIES,2651326,100,EXACT
matteucia struthiopteris,Matteuccia struthiopteris,Matteuccia struthiopteris (L.) Tod.,SPECIES,2650999,89,FUZZY
athyrium filix-femina,Athyrium filix-femina,Athyrium filix-femina (L.) Roth,SPECIES,5275044,99,EXACT
sabal palmetto,Sabal palmetto,Sabal palmetto (Walter) Lodd. ex Schult. & Schult.f.,SPECIES,4925538,99,EXACT
serenoa repens,Serenoa repens,Serenoa repens (W.Bartram) Small,SPECIES,2735055,100,EXACT
sabal minor,Sabal minor,Sabal minor (Jacq.) Pers.,SPECIES,2732511,100,EXACT
coryphantha missouriensis,Coryphantha missouriensis,Coryphantha missouriensis (Sweet) Britton & Rose,SPECIES,6382387,100,EXACT
cylindropuntia imbricata,Cylindropuntia imbricata,Cylindropuntia imbricata (Haw.) F.M.Knuth,SPECIES,6381277,100,EXACT
salicornia glasswort,Salicornia,Salicornia L.,GENUS,3083796,95,HIGHERRANK
morus alba,Morus alba,Morus alba L.,SPECIES,5361889,99,EXACT
morus rubra,Morus rubra,Morus rubra L.,SPECIES,5361886,99,EXACT
rubus odoratus,Rubus odoratus,Rubus odoratus L.,SPECIES,2994912,100,EXACT
rubus idaeus,Rubus idaeus,Rubus idaeus L.,SPECIES,2993094,99,EXACT
rubus phoenicolasius,Rubus phoenicolasius,Rubus phoenicolasius Maxim.,SPECIES,2995149,100,EXACT
rubus occidentalis,Rubus occidentalis,Rubus occidentalis L.,SPECIES,2991466,99,EXACT
rubus (dewberry),Plantae,Plantae,KINGDOM,6,99,HIGHERRANK
rubus chamaemorus,Rubus chamaemorus,Rubus chamaemorus L.,SPECIES,2998290,99,EXACT
rubus pubescens,Rubus pubescens,Rubus pubescens Raf.,SPECIES,2989228,99,EXACT
rubus arcticus,Rubus arcticus,Rubus arcticus L.,SPECIES,2992051,99,EXACT
abies balsamea,Abies balsamea,Abies balsamea (L.) Mill.,SPECIES,2685383,100,EXACT
tsuga canadensis,Tsuga canadensis,Tsuga canadensis (L.) Carrière,SPECIES,2687182,100,EXACT
batis maritima,Batis maritima,Batis maritima L.,SPECIES,5414196,100,EXACT
empetrum nigrum,Empetrum nigrum,Empetrum nigrum L.,SPECIES,8925249,100,EXACT
juniperus communis,Juniperus communis,Juniperus communis L.,SPECIES,2684709,99,EXACT
juniperus virginiana,Juniperus virginiana,Juniperus virginiana L.,SPECIES,2684391,99,EXACT
taxus canadensis,Taxus canadensis,Taxus canadensis Marshall,SPECIES,5284570,99,EXACT
juglans nigra,Juglans nigra,Juglans nigra L.,SPECIES,3054357,99,EXACT
juglans cinerea,Juglans cinerea,Juglans cinerea L.,SPECIES,3054352,100,EXACT
carya laciniosa,Carya laciniosa,Carya laciniosa (F.Michx.) Loudon,SPECIES,7915743,99,EXACT
carya glabra,Carya glabra,Carya glabra (Mill.) Sweet,SPECIES,3054325,100,EXACT
fagus grandifolia,Fagus grandifolia,Fagus grandifolia Ehrh.,SPECIES,2882274,100,EXACT
castanea dentata,Castanea dentata,Castanea dentata (Marshall) Borkh.,SPECIES,5333230,99,EXACT
castanea pumila,Castanea pumila,Castanea pumila (L.) Mill.,SPECIES,5333212,99,EXACT
corylus cornuta,Corylus cornuta,Corylus cornuta Marshall,SPECIES,2876032,99,EXACT
corylus americana,Corylus americana,Corylus americana Walter,SPECIES,2876060,99,EXACT
quercus rubra,Quercus rubra,Quercus rubra L.,SPECIES,2880539,99,EXACT
quercus alba,Quercus alba,Quercus alba L.,SPECIES,2879737,99,EXACT
quercus macrocarpa,Quercus macrocarpa,Quercus macrocarpa Michx.,SPECIES,2878213,99,EXACT
quercus michauxii,Quercus michauxii,Quercus michauxii Nutt.,SPECIES,2880340,99,EXACT
quercus montana,Quercus montana,Quercus montana Willd.,SPECIES,2881118,99,EXACT
quercus virginiana,Quercus virginiana,Quercus virginiana Mill.,SPECIES,2878092,100,EXACT
citrus trifoliata,Citrus trifoliata,Citrus trifoliata L.,SPECIES,3190129,99,EXACT
diospyros virginiana,Diospyros virginiana,Diospyros virginiana L.,SPECIES,3032986,100,EXACT
diospyros texanum,Diospyros texana,Diospyros texana Scheele,SPECIES,3032981,98,FUZZY
asimina triloba,Asimina triloba,Asimina triloba (L.) Dunal,SPECIES,3158040,99,EXACT
nyssa ogeche,Nyssa ogeche,Nyssa ogeche W.Bartram ex Marshall,SPECIES,5383722,99,EXACT
malus domestica,Malus domestica,Malus domestica (Suckow) Borkh.,SPECIES,3001244,99,EXACT
aralia spinosa,Aralia spinosa,Aralia spinosa L.,SPECIES,3036972,100,EXACT
celtis occidentalis,Celtis occidentalis,Celtis occidentalis L.,SPECIES,2984481,99,EXACT
celtis laevigata,Celtis laevigata,Celtis laevigata Willd.,SPECIES,2984491,99,EXACT
prunus serotina,Prunus serotina,Prunus serotina Ehrh.,SPECIES,3021850,99,EXACT
prunus pensylvanica,Prunus pensylvanica,Prunus pensylvanica L.fil.,SPECIES,8202030,100,EXACT
prunus avium,Prunus avium,Prunus avium (L.) L.,SPECIES,3020791,99,EXACT
elaeagnus angustifolia,Elaeagnus angustifolia,Elaeagnus angustifolia L.,SPECIES,3039269,99,EXACT
