searchedName,canonicalName,scientificName,rank,usageKey,match_confidence,matchType
Equisetum arvense,Equisetum arvense,Equisetum arvense L.,SPECIES,7924597,100,EXACT
Botrychium virginianum,Botrychium virginianum,"Botrychium virginianum Hook.f., 1850",SPECIES,7917024,99,EXACT
Pteridium aquilinum,Pteridium aquilinum,Pteridium aquilinum (L.) Kuhn,SPECIES,5275012,100,EXACT
Zamia floridana,Zamia floridana,Zamia floridana A.DC.,SPECIES,5284056,100,EXACT
Osmunda cinnamomea,Osmunda cinnamomea,Osmunda cinnamomea L.,SPECIES,2651326,100,EXACT
Matteucia struthiopteris,Matteuccia struthiopteris,Matteuccia struthiopteris (L.) Tod.,SPECIES,2650999,89,FUZZY
Athyrium filix-femina,Athyrium filix-femina,Athyrium filix-femina (L.) Roth,SPECIES,5275044,99,EXACT
Sabal palmetto,Sabal palmetto,Sabal palmetto (Walter) Lodd. ex Schult. & Schult.f.,SPECIES,4925538,99,EXACT
Serenoa repens,Serenoa repens,Serenoa repens (W.Bartram) Small,SPECIES,2735055,100,EXACT
Sabal minor,Sabal minor,Sabal minor (Jacq.) Pers.,SPECIES,2732511,100,EXACT
Coryphantha missouriensis,Coryphantha missouriensis,Coryphantha missouriensis (Sweet) Britton & Rose,SPECIES,6382387,100,EXACT
Opuntia,Opuntia,Opuntia sp.,SPECIES,9502688,98,HIGHERRANK
Cylindropuntia imbricata,Cylindropuntia imbricata,Cylindropuntia imbricata (Haw.) F.M.Knuth,SPECIES,6381277,100,EXACT
Salicornia glasswort,Salicornia,Salicornia L.,GENUS,3083796,95,HIGHERRANK
Morus alba,Morus alba,Morus alba L.,SPECIES,5361889,99,EXACT
Morus rubra,Morus rubra,Morus rubra L.,SPECIES,5361886,99,EXACT
Rubus odoratus,Rubus odoratus,Rubus odoratus L.,SPECIES,2994912,100,EXACT
Rubus idaeus,Rubus idaeus,Rubus idaeus L.,SPECIES,2993094,99,EXACT
Rubus phoenicolasius,Rubus phoenicolasius,Rubus phoenicolasius Maxim.,SPECIES,2995149,100,EXACT
Rubus occidentalis,Rubus occidentalis,Rubus occidentalis L.,SPECIES,2991466,99,EXACT
Rubus,Rubus,Rubus L.,GENUS,2988638,96,HIGHERRANK
Rubus (dewberry),Rubus,Rubus L.,GENUS,2988638,96,HIGHERRANK
Rubus chamaemorus,Rubus chamaemorus,Rubus chamaemorus L.,SPECIES,2998290,99,EXACT
Rubus pubescens,Rubus pubescens,Rubus pubescens Raf.,SPECIES,2989228,99,EXACT
Rubus arcticus,Rubus arcticus,Rubus arcticus L.,SPECIES,2992051,99,EXACT
Pinus,Pinus,Pinus L.,GENUS,2684241,80,HIGHERRANK
Picea,Picea,Picea A.Dietr.,GENUS,7606064,95,HIGHERRANK
Abies balsamea,Abies balsamea,Abies balsamea (L.) Mill.,SPECIES,2685383,100,EXACT
Tsuga canadensis,Tsuga canadensis,Tsuga canadensis (L.) Carrière,SPECIES,2687182,100,EXACT
Batis maritima,Batis maritima,Batis maritima L.,SPECIES,5414196,100,EXACT
Empetrum nigrum,Empetrum nigrum,Empetrum nigrum L.,SPECIES,8925249,100,EXACT
Juniperus communis,Juniperus communis,Juniperus communis L.,SPECIES,2684709,99,EXACT
Juniperus virginiana,Juniperus virginiana,Juniperus virginiana L.,SPECIES,2684391,99,EXACT
Taxus canadensis,Taxus canadensis,Taxus canadensis Marshall,SPECIES,5284570,99,EXACT
Juglans nigra,Juglans nigra,Juglans nigra L.,SPECIES,3054357,99,EXACT
Juglans cinerea,Juglans cinerea,Juglans cinerea L.,SPECIES,3054352,100,EXACT
Carya,Carya,Carya Nutt.,GENUS,3054287,80,HIGHERRANK
Carya laciniosa,Carya laciniosa,Carya laciniosa (F.Michx.) Loudon,SPECIES,7915743,99,EXACT
Carya glabra,Carya glabra,Carya glabra (Mill.) Sweet,SPECIES,3054325,100,EXACT
Fagus grandifolia,Fagus grandifolia,Fagus grandifolia Ehrh.,SPECIES,2882274,100,EXACT
Castanea dentata,Castanea dentata,Castanea dentata (Marshall) Borkh.,SPECIES,5333230,99,EXACT
Castanea pumila,Castanea pumila,Castanea pumila (L.) Mill.,SPECIES,5333212,99,EXACT
Corylus,Corylus,Corylus L.,GENUS,2875967,80,HIGHERRANK
Corylus cornuta,Corylus cornuta,Corylus cornuta Marshall,SPECIES,2876032,99,EXACT
Corylus americana,Corylus americana,Corylus americana Walter,SPECIES,2876060,99,EXACT
Quercus,Quercus,Quercus L.,GENUS,2877951,80,HIGHERRANK
Quercus rubra,Quercus rubra,Quercus rubra L.,SPECIES,2880539,99,EXACT
Quercus alba,Quercus alba,Quercus alba L.,SPECIES,2879737,99,EXACT
Quercus macrocarpa,Quercus macrocarpa,Quercus macrocarpa Michx.,SPECIES,2878213,99,EXACT
Quercus michauxii,Quercus michauxii,Quercus michauxii Nutt.,SPECIES,2880340,99,EXACT
Quercus montana,Quercus montana,Quercus montana Willd.,SPECIES,2881118,99,EXACT
Quercus virginiana,Quercus virginiana,Quercus virginiana Mill.,SPECIES,2878092,100,EXACT
Rosa,Rosa,Rosa spec Lej.,SPECIES,11360568,97,HIGHERRANK
Citrus trifoliata,Citrus trifoliata,Citrus trifoliata L.,SPECIES,3190129,99,EXACT
Diospyros virginiana,Diospyros virginiana,Diospyros virginiana L.,SPECIES,3032986,100,EXACT
Diospyros texanum,Diospyros texana,Diospyros texana Scheele,SPECIES,3032981,98,FUZZY
Asimina triloba,Asimina triloba,Asimina triloba (L.) Dunal,SPECIES,3158040,99,EXACT
Nyssa ogeche,Nyssa ogeche,Nyssa ogeche W.Bartram ex Marshall,SPECIES,5383722,99,EXACT
Malus,Malus,Malus Mill.,GENUS,3001068,80,HIGHERRANK
