searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType,searched_sp,matched_sp,scientificName,first_of_searched,first_of_binomial,first_of_canonical
Pinus scopulorum,5285071,Pinus scopulorum,<i>Pinus</i> <i>scopulorum</i> (Engelm.) Lemmon,SPECIES,Pinaceae,3925.0,Pinus,2684241.0,Pinus ponderosa,5285053.0,100,EXACT,2,2,Pinus scopulorum,Pinus,Pinus,Pinus
Crataegus flabellata,3014366,Crataegus flabellata,<i>Crataegus</i> <i>flabellata</i> (Bosc ex Spach) K.Koch,SPECIES,Rosaceae,5015.0,Crataegus,3013395.0,Crataegus flabellata,3014366.0,99,EXACT,2,2,Crataegus flabellata,Crataegus,Crataegus,Crataegus
Yucca elata verdiensis,2775780,Yucca elata verdiensis,<i>Yucca</i> <i>elata</i> var. <i>verdiensis</i> (McKelvey) Reveal,VARIETY,Asparagaceae,7683.0,Yucca,2775496.0,Yucca elata,2775775.0,85,EXACT,3,3,Yucca elata verdiensis,Yucca,Yucca,Yucca
Tragopogon orientalis,5386903,Tragopogon orientalis,<i>Tragopogon</i> <i>orientalis</i> L.,SPECIES,Asteraceae,3065.0,Tragopogon,3092408.0,Tragopogon orientalis,5386903.0,99,EXACT,2,2,Tragopogon orientalis,Tragopogon,Tragopogon,Tragopogon
Yucca torreyi,2775738,Yucca torreyi,<i>Yucca</i> <i>torreyi</i> Shafer,SPECIES,Asparagaceae,7683.0,Yucca,2775496.0,Yucca treculiana,9163943.0,100,EXACT,2,2,Yucca torreyi,Yucca,Yucca,Yucca
Primula clevelandii patula,5641749,Primula clevelandii patula,<i>Primula</i> <i>clevelandii</i> var. <i>patula</i> (Greene) A.R.Mast & Reveal,VARIETY,Primulaceae,6674.0,Dodecatheon,7597718.0,Dodecatheon clevelandii,3169271.0,88,EXACT,3,3,Primula clevelandii patula,Primula,Primula,Primula
Prunus virginiana demissa,6368645,Prunus virginiana demissa,<i>Prunus</i> <i>virginiana</i> var. <i>demissa</i> (Nutt.) Torr.,VARIETY,Rosaceae,5015.0,Prunus,3020559.0,Prunus virginiana,3022668.0,85,EXACT,3,3,Prunus virginiana demissa,Prunus,Prunus,Prunus
Physalis longifolia longifolia,6402842,Physalis longifolia longifolia,<i>Physalis</i> <i>longifolia</i> var. <i>longifolia</i>,VARIETY,Solanaceae,7717.0,Physalis,2928907.0,Physalis longifolia,5341818.0,88,EXACT,3,3,Physalis longifolia longifolia,Physalis,Physalis,Physalis
Ceanothus foliosus viejasensis,9711246,Ceanothus foliosus viejasensis,<i>Ceanothus</i> <i>foliosus</i> var. <i>viejasensis</i> D.O.Burge & Rebman,VARIETY,Rhamnaceae,2407.0,Ceanothus,3039297.0,Ceanothus foliosus,3039336.0,88,EXACT,3,3,Ceanothus foliosus viejasensis,Ceanothus,Ceanothus,Ceanothus
Claytonia nevadensis,3084765,Claytonia nevadensis,<i>Claytonia</i> <i>nevadensis</i> S.Watson,SPECIES,Montiaceae,4898338.0,Claytonia,3084729.0,Claytonia nevadensis,3084765.0,100,EXACT,2,2,Claytonia nevadensis,Claytonia,Claytonia,Claytonia
