searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType
Pinus scopulorum,5285071,Pinus scopulorum,<i>Pinus</i> <i>scopulorum</i> (Engelm.) Lemmon,SPECIES,Pinaceae,3925,Pinus,2684241,Pinus ponderosa,5285053,100,EXACT
Crataegus flabellata,3014366,Crataegus flabellata,<i>Crataegus</i> <i>flabellata</i> (Bosc ex Spach) K.Koch,SPECIES,Rosaceae,5015,Crataegus,3013395,Crataegus flabellata,3014366,99,EXACT
Yucca elata verdiensis,2775780,Yucca elata verdiensis,<i>Yucca</i> <i>elata</i> var. <i>verdiensis</i> (McKelvey) Reveal,VARIETY,Asparagaceae,7683,Yucca,2775496,Yucca elata,2775775,85,EXACT
Tragopogon orientalis,5386903,Tragopogon orientalis,<i>Tragopogon</i> <i>orientalis</i> L.,SPECIES,Asteraceae,3065,Tragopogon,3092408,Tragopogon orientalis,5386903,99,EXACT
Yucca torreyi,2775738,Yucca torreyi,<i>Yucca</i> <i>torreyi</i> Shafer,SPECIES,Asparagaceae,7683,Yucca,2775496,Yucca treculiana,9163943,100,EXACT
Primula clevelandii patula,5641749,Primula clevelandii patula,<i>Primula</i> <i>clevelandii</i> var. <i>patula</i> (Greene) A.R.Mast & Reveal,VARIETY,Primulaceae,6674,Dodecatheon,7597718,Dodecatheon clevelandii,3169271,88,EXACT
Prunus virginiana demissa,6368645,Prunus virginiana demissa,<i>Prunus</i> <i>virginiana</i> var. <i>demissa</i> (Nutt.) Torr.,VARIETY,Rosaceae,5015,Prunus,3020559,Prunus virginiana,3022668,85,EXACT
Physalis longifolia longifolia,6402842,Physalis longifolia longifolia,<i>Physalis</i> <i>longifolia</i> var. <i>longifolia</i>,VARIETY,Solanaceae,7717,Physalis,2928907,Physalis longifolia,5341818,88,EXACT
Ceanothus foliosus viejasensis,9711246,Ceanothus foliosus viejasensis,<i>Ceanothus</i> <i>foliosus</i> var. <i>viejasensis</i> D.O.Burge & Rebman,VARIETY,Rhamnaceae,2407,Ceanothus,3039297,Ceanothus foliosus,3039336,88,EXACT
Claytonia nevadensis,3084765,Claytonia nevadensis,<i>Claytonia</i> <i>nevadensis</i> S.Watson,SPECIES,Montiaceae,4898338,Claytonia,3084729,Claytonia nevadensis,3084765,100,EXACT
Ceanothus gloriosus gloriosus,7530271,Ceanothus gloriosus gloriosus,<i>Ceanothus</i> <i>gloriosus</i> var. <i>gloriosus</i>,VARIETY,Rhamnaceae,2407,Ceanothus,3039297,Ceanothus gloriosus,3039305,85,EXACT
Allium douglasii,2856994,Allium douglasii,<i>Allium</i> <i>douglasii</i> Hook.,SPECIES,Amaryllidaceae,7682,Allium,9624496,Allium douglasii,2856994,99,EXACT
Phacelia dubia georgiana,10163590,Phacelia dubia georgiana,<i>Phacelia</i> <i>dubia</i> var. <i>georgiana</i> Mc Vaugh,VARIETY,Hydrophyllaceae,2387,Phacelia,8988077,Phacelia dubia,2928259,87,EXACT
Yucca harrimaniae gilbertiana,2775581,Yucca harrimaniae gilbertiana,<i>Yucca</i> <i>harrimaniae</i> var. <i>gilbertiana</i> Trel.,VARIETY,Asparagaceae,7683,Yucca,2775496,Yucca harrimaniae,2775580,84,EXACT
