taxonKey,name
5285071,Pinus scopulorum
3014366,Crataegus flabellata
2775780,Yucca elata verdiensis
5386903,Tragopogon orientalis
2775738,Yucca torreyi
5641749,Primula clevelandii patula
6368645,Prunus virginiana demissa
6402842,Physalis longifolia longifolia
9711246,Ceanothus foliosus viejasensis
3084765,Claytonia nevadensis
7530271,Ceanothus gloriosus gloriosus
2856994,Allium douglasii
10163590,Phacelia dubia georgiana
2775581,Yucca harrimaniae gilbertiana
2889033,Rumex pallidus
7296287,Viola rostrata rostrata
3001372,Malus sargentii
8097265,Oxalis versicolor
2769086,Camassia quamash intermedia
7669068,Foeniculum vulgare azoricum
5341818,Physalis longifolia
2753284,Lilium catesbaei
4220417,Cirsium occidentale lucianum
5384620,Stellaria longipes
7226078,Lamium purpureum purpureum
9072099,Honckenya peploides robusta
5341808,Physalis missouriensis
7226050,Viola canadensis canadensis
2878264,Quercus × cravenensis
2989820,Rubus baileyanus
2765260,Tradescantia roseolens
3697714,Nuphar × rubrodisca
2879170,Quercus × stelloides
3014902,Crataegus × fretalis
2879637,Quercus viminea
5295096,Smilax jamesii
2877708,Quercus laurifolia
2770047,Polygonatum biflorum commutatum
5640458,Primula frenchii
3034864,Sanicula maritima
7222553,Cirsium douglasii douglasii
3083531,Suaeda rolandii
8362574,Cirsium longistylum
3015588,Crataegus coccinea pringlei
2775694,Yucca angustissima toftiae
5410486,Campanula rapunculoides cordifolia
3084735,Claytonia megarhiza
2775703,Yucca constricta
2855927,Allium atrorubens cristatum
7736011,Claytonia perfoliata
2888597,Viburnum sieboldii
2999961,Rubus deliciosus
4271366,Sanicula crassicaulis crassicaulis
2753201,Lilium pardalinum wigginsii
10030111,Ceanothus × regius
2878206,Quercus tomentella
7291543,Rumex crispus crispus
7096645,Celtis laevigata laevigata
2742276,Trillium persistens
6305858,Cirsium arvense arvense
8083070,Ribes tularense
9479365,Claytonia peirsonii
2856670,Allium passeyi
5663767,Viola × indivisa
2888622,Viburnum plicatum
4037007,Persicaria amphibia emersa
2879924,Quercus durata durata
5331324,Viola purpurea
7296321,Viola riviniana
2879314,Quercus × hawkinsiae
6370925,Cannabis sativa sativa
7258954,Rubus idaeus idaeus
7222547,Cirsium remotifolium remotifolium
2878545,Quercus myrtifolia
7069110,Quercus wislizeni wislizeni
3113695,Cirsium quercetorum
5295260,Smilax melastomifolia
8960288,Typha × glauca
3016197,Crataegus dodgei
10046939,Ceanothus impressus nipomensis
7227509,Trillium pusillum pusillum
5386909,Tragopogon miscellus
7225596,Raphanus raphanistrum raphanistrum
2993662,Rubus aboriginum
2878032,Quercus × jackiana
3767911,Acer saccharum schneckii
2753090,Lilium candidum
2888948,Rumex alpinus
7707078,Rhus microphylla
2775545,Yucca louisianensis
2753146,Lilium martagon
5662245,Mertensia paniculata borealis
3023951,Amelanchier nantucketensis
2998356,Rubus enslenii
5331325,Viola biflora
6369131,Rubus allegheniensis allegheniensis
6423485,Lomatium foeniculaceum fimbriatum
7403263,Lactuca sativa
3023903,Amelanchier humilis
3856436,Viburnum davidii
3054343,Carya × laneyi
2889320,Persicaria virginiana
3039366,Ceanothus prostratus
2772094,Muscari botryoides
5372375,Vitis acerifolia
7226077,Prunella vulgaris vulgaris
2994134,Rubus rolfei
4222728,Cirsium fontinale campylon
5664226,Viola purpurea venosa
5341421,Monarda stanfieldii
9638143,Colocasia esculenta esculenta
6305541,Cirsium vulgare vulgare
4194918,Ribes oxyacanthoides setosum
5374656,Barbarea vulgaris arcuata
3023878,Amelanchier ovalis
5331199,Viola adunca
8086561,Quercus velutina
5331355,Viola palustris
2889304,Persicaria capitata
2991752,Rubus ursinus macropetalus
3013404,Crataegus crus-galli
6444227,Cirsium occidentale occidentale
5384652,Stellaria crispa
2882833,Vaccinium myrtillus
2926558,Glechoma hederacea micrantha
4220437,Cirsium occidentale candidissimum
3014860,Crataegus coccinioides
6063915,Cirsium tioganum
4194316,Ribes oxyacanthoides cognatum
5284802,Picea mariana
2878550,Quercus hypoleucoides
2878156,Quercus × alvordiana
7947023,Ribes amarum
8152187,Muscari armeniacum
8078311,Pediomelum hypogaeum scaposum
7096614,Viburnum opulus opulus
2878187,Quercus pungens
8993372,Erythronium shastense
2927372,Pycnanthemum clinopodioides
6435054,Allium sativum sativum
4270222,Pontederia cordata cordata
3014366,Crataegus flabellata flabellata
10761048,Claytonia crawfordii
6709300,Rumex acetosella acetosella
2888601,Viburnum lantanoides
2889206,Persicaria bicornis
3039365,Ceanothus jepsonii
2974832,Vicia faba
3039374,Ceanothus arboreus
7219278,Ribes divaricatum divaricatum
7125671,Claytonia multiscapa
7641050,Tilia americana caroliniana
2878552,Quercus × caduca
2986204,Ribes marshallii
2995969,Rubus groutianus
2857454,Allium yosemitense
4271176,Rumex utahensis
2878268,Quercus gambelii
3039308,Ceanothus crassifolius
5285140,Pinus glabra
5331202,Viola selkirkii
8041842,Crataegus phaenopyrum
9967981,Wisteria frutescens macrostachya
6620109,Prunus virginiana virginiana
5331290,Viola appalachiensis
2879840,Quercus × townei
2753336,Lilium longiflorum
3014175,Crataegus brainerdii
10716260,Stellaria sanjuanensis
3642205,Daucus carota azoricus
2880791,Quercus agrifolia
2742425,Trillium nivale
3039317,Ceanothus cordulatus
5640934,Primula latiloba
2856249,Allium abramsii
5658529,Vitis cinerea floridana
7227542,Lilium humboldtii humboldtii
2857573,Allium fraseri
6391007,Persicaria posumbu
6376465,Gleditsia triacanthos inermis
2878236,Quercus × subconvexa
2878126,Quercus parvula tamalpaisensis
7881028,Cirsium centaureae
7821640,Vaccinium uliginosum microphyllum
6306689,Cardamine impatiens impatiens
3639590,Sanicula canadensis grandis
2986097,Ribes rubrum
3083541,Suaeda maritima
5331223,Viola pinetorum
2752838,Erythronium mesochoreum
3012319,Sorbus sitchensis
3039357,Ceanothus hearstiorum
5285604,Pinus halepensis
7277276,Ficaria verna verna
3112941,Cirsium griseum
5331289,Viola retusa
5640826,Primula jeffreyi jeffreyi
4194230,Ribes oxyacanthoides irriguum
2879051,Quercus × mutabilis
2742335,Trillium undulatum
5295452,Smilax lasioneuron
2882931,Vaccinium calycinum
7461212,Oxalis bowiei
4217232,Petasites frigidus vitifolius
6449222,Ceanothus prostratus prostratus
5285740,Pinus caribaea
7306840,Clinopodium vulgare vulgare
5331388,Viola × sublanceolata
2716248,Cyperus esculentus macrostachyus
5331304,Viola tripartita
3015389,Crataegus uniflora
3939230,Sphaeralcea coccinea elata
5581279,Physalis longifolia subglabrata
5331282,Viola brittoniana
2891645,Oxalis suksdorfii
7258869,Perideridia gairdneri gairdneri
6309810,Vicia americana minor
2765302,Tradescantia subaspera montana
11288215,Colocasia esculenta illustris
6369877,Viburnum carolinianum
5285324,Pinus echinata
2878626,Quercus laevis
5384673,Stellaria dicranoides
7273797,Ceanothus americanus americanus
2975083,Vicia tetrasperma
5384614,Stellaria nitens
2880522,Quercus hinckleyi
2765210,Tradescantia edwardsiana
7226093,Origanum vulgare vulgare
2857976,Allium multibulbosum
2881678,Quercus × beadlei
3014949,Crataegus viburnifolia
5295110,Smilax tamnoides
2986198,Ribes roezlii
3083536,Suaeda nigra
2752898,Erythronium multiscapideum
2888990,Rumex salicifolius
2856037,Allium ampeloprasum
7936270,Vaccinium shastense
7226842,Zizania aquatica aquatica
6377387,Malvaviscus arboreus arboreus
2879276,Quercus ellipsoidalis
2873771,Acorus americanus
5341478,Lycopus europaeus
8073365,Vaccinium shastense nevadense
5285527,Pinus leiophylla chihuahuana
5384606,Stellaria alsine
2927355,Pycnanthemum montanum
7222052,Vitis rotundifolia rotundifolia
3662331,Rhus virens choriophylla
7296370,Viola palustris palustris
5331370,Viola palmata
2753428,Lilium michauxii
3855464,Viburnum nitidum
5285503,Pinus californiarum
2888585,Viburnum tinus
3112858,Cirsium grahamii
2977323,Wisteria floribunda
2857743,Allium marvinii
10728948,Allium keeverae
3698013,Allium bigelovii
3660013,Rhus aromatica simplicifolia
2753379,Lilium iridollae
3084768,Claytonia umbellata
7258891,Lathyrus japonicus japonicus
2888975,Rumex violascens
2856194,Allium bolanderi
8380066,Caltha palustris radicans
3013495,Crataegus austromontana
7598605,Cercis canadensis texensis
2986124,Ribes oxyacanthoides
2857894,Allium amplectens
8655746,Viburnum carlcephalum
3112931,Cirsium perplexans
2775677,Yucca recurvifolia
2891719,Oxalis frutescens
11464819,Cirsium culebraense
2856793,Allium howellii clokeyi
5331332,Viola sempervirens
2927189,Mentha pulegium
4274897,Quercus agrifolia agrifolia
2765250,Tradescantia reverchonii
3112906,Cirsium canescens
5659023,Vitis rotundifolia munsoniana
9254522,Trillium tennesseense
2889028,Rumex giganteus
2997648,Rubus pugnax
2977310,Wisteria frutescens
2926921,Clinopodium brownei
2975188,Vicia tenuifolia
5383950,Salicornia rubra
2880580,Quercus cerris
2882591,Arctostaphylos uva-ursi leobreweri
4219554,Cirsium remotifolium rivulare
7648072,Prunus pensylvanica pensylvanica
2753524,Lilium columbianum
5331273,Viola renifolia
2765272,Tradescantia virginiana
3875193,Ceanothus cuneatus ramulosus
2888615,Viburnum lantana
2769105,Camassia quamash breviflora
5605437,Monarda fistulosa menthifolia
3715292,Hypericum ascyron pyramidatum
6369034,Rubus arcticus stellatus
3016092,Crataegus castlegarensis
7219969,Crataegus chrysocarpa chrysocarpa
7288869,Portulaca oleracea oleracea
2752815,Erythronium americanum
2974901,Vicia grandiflora
3112670,Cirsium wheeleri
3039393,Ceanothus maritimus
5581432,Physalis cinerascens spathulifolia
2881630,Quercus marilandica marilandica
10527561,Ceanothus arcuatus
4022126,Claytonia exigua glauca
7066689,Cirsium scariosum scariosum
2879547,Quercus intricata
2873796,Acorus calamus angustatus
3016153,Crataegus pisifera
5663752,Viola epipsiloides
7282635,Cylindropuntia imbricata imbricata
3113056,Cirsium rhothophilum
2742422,Trillium flexipes
2879928,Quercus durata gabrielensis
3039379,Ceanothus thyrsiflorus
3034853,Sanicula arctopoides
2927339,Pycnanthemum curvipes
3001596,Malus ioensis
2991951,Rubus fraxinifolius
5664111,Viola canadensis scopulorum
2880125,Quercus × deamii
5652270,Fallopia cristata
5384644,Stellaria alaskana
5358798,Trifolium pratense sativum
5374657,Barbarea vulgaris vulgaris
6391461,Fallopia convolvulus
7228120,Maianthemum racemosum racemosum
6620105,Prunus serotina serotina
7225626,Hesperis matronalis matronalis
2857370,Allium cratericola
2769078,Camassia cusickii
6442184,Ribes oxyacanthoides hendersonii
2857754,Allium lacunosum micranthum
11374076,Sonchus asper asper
2986101,Ribes malvaceum
